condition,final_alpha_mean,final_alpha_std,accuracy_mean,accuracy_std
REG_FAIR_0.2,0.9966245824303908,0.0018519790433448246,0.6028333333333333,0.014267054726702094
REG_FAIR_0.5,0.5582333068674087,0.1728392157976142,0.7129583333333334,0.039597222306215075
REG_FAIR_0.8,0.016618788541078178,0.010555951756005684,0.7991666666666665,0.010023320508842788
TRANSPARENCY_0.2,0.9994581014713807,0.0015416470156598098,0.6024999999999998,0.014000461815043195
TRANSPARENCY_0.5,0.9774146855261664,0.01311051997461993,0.6154583333333333,0.0156589573536139
TRANSPARENCY_0.8,0.10554050405970748,0.04062457015276991,0.7867500000000002,0.015088103329079028
REG_q0.5,0.9938683982256169,0.003533052067878239,0.6012083333333335,0.01555885424452259
REG_q0.7,0.9811671302640971,0.014014688136138513,0.610125,0.0179719309403341
REG_q0.9,0.7861802380628433,0.1324152747061831,0.665125,0.037365203133027575
REG_q1.0,0.5673920862836893,0.16222843406959428,0.706,0.032909227298423625
APPROVAL_ONLY_lr0.02,0.844016333115982,0.05691256420457454,0.6605416666666668,0.02275403368307639
TRANSPARENCY_0.8_lr0.02,0.006697347713242792,0.0027655507654417042,0.8010833333333334,0.010174836551540993
APPROVAL_ONLY_lr0.05,0.9998400725739833,0.0005187301714105759,0.6022083333333332,0.01415996714474401
TRANSPARENCY_0.8_lr0.05,0.10554050405970748,0.04062457015276991,0.7867500000000002,0.015088103329079028
APPROVAL_ONLY_lr0.1,0.999993137854291,3.758551997733202e-05,0.6021666666666665,0.014126633767787547
TRANSPARENCY_0.8_lr0.1,0.844016333115982,0.05691256420457458,0.6605416666666668,0.02275403368307639
APPROVAL_ONLY_bb0.9,0.9999411891696209,0.0003093725599200526,0.6022083333333332,0.014018473546528257
TRANSPARENCY_0.8_bb0.9,0.08825500497692848,0.03901876776198112,0.7895416666666668,0.013480842622629049
APPROVAL_ONLY_bb0.95,0.9998400725739833,0.0005187301714105759,0.6022083333333332,0.01415996714474401
TRANSPARENCY_0.8_bb0.95,0.10554050405970748,0.04062457015276991,0.7867500000000002,0.015088103329079028
APPROVAL_ONLY_bb0.99,0.9998894845142383,0.000374501086216334,0.6022083333333332,0.014060687941999803
TRANSPARENCY_0.8_bb0.99,0.11162609251181525,0.040008945311945196,0.7864583333333334,0.01383042051454674
REG_lambda0.1_q0.3,0.9989775365408317,0.0005201431466297476,0.5998333333333333,0.01462805130758951
REG_lambda0.8_q0.3,0.993322906450108,0.004650329198167518,0.6015,0.015108800815053634
