seed,final_alpha,alpha_500,alpha_1000,alpha_2000,alpha_5000
0,0.01717992061428983,0.016887429889366652,0.021147475483841757,0.020434086446864327,0.08647317490356189
1,0.4893383882020015,0.012256319075996785,0.03695777991579186,0.09980155379606341,0.0729072425468464
2,0.3308495859036118,0.017705982980779196,0.02331552918495307,0.0743405235245634,0.11560596100674266
3,0.08411728464363966,0.0021309493928607154,0.024207742137967888,0.029804622449278187,0.026790919441778728
4,0.013051599055933769,0.00785812782273138,0.02303572880221241,0.007277086943748758,0.009883537372777381
5,0.18787342108015861,0.014557172533423503,0.04037861394602959,0.04004964022541482,0.15462660501905653
6,0.08348931487179183,0.010190954559744368,0.02521755067759166,0.030974788748040716,0.07741961871508146
7,0.19613319037345564,0.02780612620295429,0.01959307453957179,0.06204460362955086,0.05486262217928729
8,0.31997014423763376,0.013219649625625251,0.02615631281812261,0.01768114493768645,0.02718948197198127
9,0.44125666578933626,0.014707964316440105,0.01314802615334937,0.017284468075485507,0.055599468205439165
10,0.3281182488423943,0.015305831566105934,0.012652348535804731,0.009172948913321412,0.042076276159353006
11,0.286066291091962,0.020025398657863583,0.034215392127132566,0.023971590009840706,0.005545784858631575
12,0.16727311742162398,0.02496394776505978,0.008103547292425645,0.024623395792250532,0.12260025493212078
13,0.051988940683039594,0.006263260024886092,0.00027908126600678423,0.06177893534221231,0.03214752669179954
14,0.17697165050258662,0.01586630533306495,0.02397608691501147,0.09317981386759526,0.18093180035122972
15,0.1494513690297858,0.00853333191856128,0.020585898711921187,0.024884694635139974,0.004097433454360803
16,0.22418579058176677,0.05016345857216333,0.05036256327706223,0.04658192379101124,0.0577860382828785
17,0.1382539408808767,0.01106082142189149,0.02844888961850639,0.006105835667730581,0.07222749188544395
18,0.013127684223482447,0.003479394949349534,0.012441094931560166,0.0,0.08898369078935395
19,0.01830820514198633,0.011995230438037392,0.01152204051199625,0.012526013958952146,0.031439251392707694
20,0.12390671237385152,0.024555278825245015,0.007083483263873744,0.026274974350113542,0.019306988970515603
21,0.0395268761271408,0.0042703833891844034,0.011220841851302333,0.012323532616001033,0.03284739501952263
22,0.5669003505769388,0.010725243757264588,0.02821788811455027,0.037112671333831275,0.06680428358139118
23,0.036498816673096804,0.008519871586425583,0.01042583208759685,0.030354486557962555,0.016111476524068098
24,0.3714258184752774,0.008199882494175486,0.015806096302719015,0.018003784289874706,0.032021590557146186
25,0.09738404800637201,0.019072788890100244,0.01727880290081428,0.03620084185239705,0.03926305899002346
26,0.05055903471446057,0.0027993479482816687,0.018254826207220073,0.032460538846665825,0.018562768857637774
27,0.22460749443906824,0.01870155416725776,0.0259038275676056,0.018104005174886684,0.01777019181718248
28,0.167537594675175,0.0027671298579668704,0.03206151173393419,0.037253610390529095,0.007749123009180403
29,0.01554806337145356,0.017726848064344932,0.023117991522321482,0.04119277845815697,0.00998125489355675
