final_alpha_arm,mean_alpha_tail,accuracy,condition
1.0,0.9522,0.61225,APPROVAL_ONLY
1.0,0.9459249999999999,0.611,APPROVAL_ONLY
1.0,0.9469749999999999,0.61825,APPROVAL_ONLY
1.0,0.95035,0.59925,APPROVAL_ONLY
1.0,0.944125,0.606,APPROVAL_ONLY
1.0,0.9487000000000001,0.61625,APPROVAL_ONLY
1.0,0.949275,0.614,APPROVAL_ONLY
1.0,0.9484499999999999,0.6095,APPROVAL_ONLY
1.0,0.946375,0.60375,APPROVAL_ONLY
1.0,0.9499500000000001,0.60675,APPROVAL_ONLY
1.0,0.9522,0.61225,TRANSPARENCY
1.0,0.9459249999999999,0.611,TRANSPARENCY
1.0,0.9469749999999999,0.61825,TRANSPARENCY
1.0,0.95035,0.59925,TRANSPARENCY
1.0,0.944125,0.606,TRANSPARENCY
1.0,0.9487000000000001,0.61625,TRANSPARENCY
1.0,0.949275,0.614,TRANSPARENCY
1.0,0.9484499999999999,0.6095,TRANSPARENCY
1.0,0.946375,0.60375,TRANSPARENCY
1.0,0.9499500000000001,0.60675,TRANSPARENCY
