condition,n_rounds,n_seeds,final_alpha_mean,final_alpha_std,accuracy_mean,accuracy_std,trust_mean,trust_std,calibration_gap_mean,calibration_gap_std
Approval_only,20000,30,1.0,0.0,0.6013416666666667,0.006617793195742001,0.9999999999999967,1.1292025708167404e-16,0.39865833333333006,0.006617793195742001
Transparency_0.2,20000,30,0.9999973180105173,1.4689861386705394e-05,0.6013416666666667,0.006617793195742001,0.9999999999999967,1.1292025708167404e-16,0.39865833333333006,0.006617793195742001
Transparency_0.5,20000,30,0.9999861513475187,7.585219355062013e-05,0.6013416666666667,0.006617793195742001,0.9999999999999967,1.1292025708167404e-16,0.39865833333333006,0.006617793195742001
Transparency_0.8,20000,30,0.9998220063261268,0.00032994623819245953,0.6013583333333333,0.006644184433142198,0.9999492284023442,0.00010325361103035611,0.3985908950690107,0.00664899952675586
REG_lambda0.5_q1.0,20000,30,0.9918442787770555,0.004086846146324361,0.600175,0.008052133471836875,0.995704666768224,0.0008797291174681782,0.39552966676822404,0.007990942793745782
REG_FAIR_lambda0.5,20000,30,0.9910466104770633,0.004794875426774682,0.6031666666666665,0.006948496901877571,0.9958527092313588,0.0009873148361469438,0.39268604256469214,0.007155058820708296
REG_FAIR_lambda0.8,20000,30,0.01793991663537409,0.010348233515039064,0.7989916666666664,0.007616758783617634,0.5667703684363785,0.0064958285524826615,0.23222129823028803,0.007439093277999937
REG_FAIR_lambda0.8,60000,10,0.017256907551740697,0.00826873361385105,0.7972416666666666,0.0027251826306452075,0.5680409930463555,0.0036533725985069113,0.22920067362031102,0.004864691544372537
REG_FAIR_gap0.10_lambda0.05,20000,10,0.9989650158895383,0.0007446909189570436,0.6552,0.006339689792621294,0.9997449258062836,0.00014963173758707074,0.3445449258062836,0.006381099437552678
REG_FAIR_gap0.10_lambda0.1,20000,10,0.9987608494194677,0.0009335132992837376,0.6552250000000001,0.006553677932614966,0.99936789526163,0.0002875697773335942,0.3441428952616301,0.006608916362521165
REG_FAIR_gap0.10_lambda0.2,20000,10,0.9974219215659652,0.0018506329514357432,0.655325,0.006618629012114201,0.998857080817349,0.00022086835169533528,0.3435320808173489,0.0065636464109774
REG_FAIR_gap0.10_lambda0.4,20000,10,0.9952722879499449,0.003395068299152172,0.6556749999999999,0.006812009411489526,0.9975508757430479,0.0006843354150275328,0.3418758757430479,0.006894279943267188
REG_FAIR_gap0.10_lambda0.8,20000,10,0.21632595147718528,0.1720171180244204,0.7345,0.010833333333333342,0.6566496631144811,0.06249086619123166,0.08499331701915736,0.061753576225134985
REG_FAIR_gap0.20_lambda0.05,20000,10,0.9989035598137098,0.0007225092599151672,0.6042249999999999,0.006353531389008118,0.9996908472605508,0.00016046678010988227,0.3954658472605507,0.006352162761628497
REG_FAIR_gap0.20_lambda0.1,20000,10,0.9983431686526932,0.0012502222236594523,0.604425,0.006418343936631094,0.999342421812033,0.00020257942943800248,0.39491742181203304,0.006451542410938935
REG_FAIR_gap0.20_lambda0.2,20000,10,0.9970036262339186,0.002359546463011176,0.6045499999999999,0.006584704498558269,0.9987505232429246,0.0003798861715523697,0.39420052324292454,0.0065720772685621456
REG_FAIR_gap0.20_lambda0.4,20000,10,0.9946391614222978,0.004263259722633266,0.60535,0.006677283213336922,0.9972648652849646,0.0008815620436490048,0.3919148652849647,0.006856893486282205
REG_FAIR_gap0.20_lambda0.8,20000,10,0.019873675340135462,0.01355659181139363,0.7976749999999999,0.005497537327446429,0.5676346589525509,0.007579912509104893,0.23004034104744892,0.005836908732514203
REG_FAIR_gap0.30_lambda0.05,20000,10,0.9989202115702254,0.0007445195748346898,0.5544,0.00639791632747204,0.9996657627906005,0.00011631116853561574,0.4452657627906004,0.006449436987053487
REG_FAIR_gap0.30_lambda0.1,20000,10,0.9983723515568785,0.0011262005201384381,0.554625,0.0064347688381169044,0.9992423219488892,0.00012967677790550012,0.4446173219488892,0.006482154291027543
REG_FAIR_gap0.30_lambda0.2,20000,10,0.996767446476847,0.002413970663167117,0.5549250000000001,0.006580748437677885,0.9987218699488117,0.00032305054354187266,0.4437968699488118,0.006742882271837792
REG_FAIR_gap0.30_lambda0.4,20000,10,0.9936051240271325,0.004448926999178028,0.5561499999999999,0.0064401086947349084,0.9969045832322847,0.0007885208017593936,0.4407545832322846,0.006754457956879065
REG_FAIR_gap0.30_lambda0.8,20000,10,0.015460147821587856,0.010501377838428553,0.8463499999999999,0.00432884382819348,0.5415215271110904,0.005954855827096045,0.30482847288890974,0.00624944709020346
