condition,final_alpha_mean,final_alpha_std,accuracy_mean,accuracy_std,trust_mean,trust_std,calibration_gap_mean,calibration_gap_std,sycophancy_index_mean,sycophancy_index_std,regret_mean,regret_std
STATIC_HONEST,0.0,0.0,0.802125,0.009744306472021996,0.5619198846056531,0.01669523552690758,0.24020511539434686,0.018446465157393413,,,-0.0021249999999999585,0.009744306472021996
STATIC_SYCOPHANT,1.0,0.0,0.6022083333333332,0.014060687941999803,0.9999999999999969,1.1292025708167404e-16,0.3977916666666637,0.014060687941999803,,,0.19779166666666673,0.014060687941999803
APPROVAL_ONLY,0.9998400725739833,0.0005187301714105759,0.6022083333333332,0.01415996714474401,0.9999127187754803,0.00032876192800589723,0.3977043854421468,0.014133613757119173,0.5047273626680564,0.013099470266769048,0.19779166666666673,0.01415996714474401
REG_lambda0.1_q0.3,0.9989775365408317,0.0005201431466297476,0.5998333333333333,0.01462805130758951,0.9995509897031628,0.0005936667222715932,0.3997176563698293,0.014585056559795985,0.5015327924027718,0.012596704909375301,0.2001666666666667,0.014628051307589509
REG_lambda0.3_q0.3,0.9972739691696849,0.0016943225566673325,0.5997499999999999,0.014630506626153825,0.9989677305877777,0.0008891842688073707,0.3992177305877777,0.014533294040050193,0.4887646813743486,0.012658777582091574,0.20025000000000004,0.014630506626153825
REG_lambda0.5_q0.3,0.9957796526821111,0.002878769454970035,0.6,0.014413834350708185,0.998261051901628,0.0009804568746650812,0.39826105190162814,0.014414558513164324,0.47346578049192517,0.014589137992675083,0.20000000000000007,0.014413834350708185
REG_lambda0.8_q0.3,0.993322906450108,0.004650329198167518,0.6015,0.015108800815053634,0.994874113687746,0.0027493293452816657,0.393374113687746,0.01632549476613463,0.4430539922429611,0.020704807436740302,0.19850000000000007,0.015108800815053634
REG_lambda0.5_q0.05,0.9985858430514157,0.0011143477999713916,0.5997916666666666,0.014559195952442195,0.9995143308122599,0.0006779317962809724,0.39972266414559326,0.014519336084913945,0.5023589617123954,0.011752276730396758,0.20020833333333338,0.014559195952442193
REG_lambda0.5_q0.2,0.9962202499225109,0.0024648572562618234,0.6,0.014484682753956276,0.9987367477575406,0.0008606780570047291,0.39873674775754075,0.014517667722209695,0.486327553237444,0.012855338217929493,0.20000000000000007,0.014484682753956276
REG_lambda0.5_q0.5,0.9938683982256169,0.003533052067878239,0.6012083333333335,0.01555885424452259,0.9952442538057107,0.003319927188586222,0.3940359204723773,0.017051658327862446,0.4404492964884442,0.020233879777528777,0.1987916666666667,0.015558854244522592
REG_lambda0.5_q1.0,0.5673920862836893,0.16222843406959428,0.706,0.032909227298423625,0.759069315062277,0.06922299793785056,0.09499289633080574,0.05586304004637608,0.14861809739798346,0.05992684152724326,0.09400000000000004,0.032909227298423625
TRANSPARENCY_0.2,0.9994581014713807,0.0015416470156598098,0.6024999999999998,0.014000461815043195,0.999509487758466,0.0007783238349279806,0.397009487758466,0.01410249136642838,0.47698466736716066,0.013869434019940714,0.19750000000000004,0.014000461815043195
TRANSPARENCY_0.5,0.9774146855261664,0.01311051997461993,0.6154583333333333,0.0156589573536139,0.9675049320414735,0.014277488350217402,0.35204659870814026,0.025845592765225255,0.360735637357956,0.024205845203377215,0.18454166666666674,0.0156589573536139
TRANSPARENCY_0.8,0.10554050405970748,0.04062457015276991,0.7867500000000002,0.015088103329079028,0.5969622522928998,0.021940826674611946,0.18978774770710033,0.03152174224813054,0.004732557874141199,0.024642179929241587,0.013250000000000043,0.015088103329079028
