tag,beta,N,T,epsilon,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
N_sweep,0,50,4000,0.15,0.3,0,0.0629675997681133,0.7682066560647425,0.30625,0.20502816932758441,4
N_sweep,0,50,4000,0.15,0.3,1,0.08160348649347193,0.7448825867988619,0.30375,0.21288434599006198,3
N_sweep,0,50,4000,0.15,0.3,2,0.0653029769275325,0.7837920049076309,0.45325,0.25712275284270547,2
N_sweep,0,50,4000,0.15,0.3,3,0.08000738115386134,0.7477520000947588,0.26225,0.2009731445491255,4
N_sweep,0,50,4000,0.15,0.3,4,0.08209575320247246,0.751815093397869,0.35975,0.21991938043410827,4
N_sweep,0,50,4000,0.15,0.3,5,0.07301676811436673,0.7536218116851908,0.267,0.20722565367657975,4
N_sweep,0,50,4000,0.15,0.3,6,0.05521004798177077,0.7957316160497145,0.40725,0.2379712083179853,4
N_sweep,0,50,4000,0.15,0.3,7,0.07685119181902769,0.7540138879829936,0.3085,0.2194895035683947,4
N_sweep,0,50,4000,0.15,0.3,8,0.07949265983765232,0.758808494660259,0.343,0.22483698005414246,4
N_sweep,0,50,4000,0.15,0.3,9,0.06293540156969017,0.7737767069144904,0.323,0.22838947775453958,4
N_sweep,0,50,4000,0.15,0.3,10,0.10680536617946813,0.7205567079026248,0.27925,0.2417639480074251,4
N_sweep,0,50,4000,0.15,0.3,11,0.07870719623837545,0.7544346123538678,0.312,0.21567099272950963,4
N_sweep,0,50,4000,0.15,0.3,12,0.04762415095952007,0.8067595729751855,0.4285,0.21010982711652243,3
N_sweep,0,50,4000,0.15,0.3,13,0.06619724435325669,0.7722729691185152,0.38325,0.23432066792620526,3
N_sweep,0,50,4000,0.15,0.3,14,0.06748382161772723,0.764352785731831,0.32225,0.21266771399171253,4
N_sweep,0,50,4000,0.15,0.3,15,0.0681259133171304,0.7654108084944519,0.26425,0.1919708674379604,4
N_sweep,0,50,4000,0.15,0.3,16,0.09188604531524378,0.7516081305387197,0.3925,0.27037428111476386,3
N_sweep,0,50,4000,0.15,0.3,17,0.07968502991756156,0.7545229356398628,0.339,0.23385292925549103,4
N_sweep,0,50,4000,0.15,0.3,18,0.07384034201223201,0.7566704566377281,0.28625,0.20239560299006631,4
N_sweep,0,50,4000,0.15,0.3,19,0.05901339038769386,0.7900472299966101,0.38975,0.18606568313010455,3
N_sweep,0,50,4000,0.15,0.3,20,0.07477414202151808,0.7537902464054707,0.272,0.19364056657305276,4
N_sweep,0,50,4000,0.15,0.3,21,0.08399779375007715,0.7520789431283562,0.34775,0.22776589446042977,3
N_sweep,0,50,4000,0.15,0.3,22,0.0759831691707773,0.75028630722724,0.274,0.2174235310159273,4
N_sweep,0,50,4000,0.15,0.3,23,0.06864357332104602,0.7741173789869036,0.38925,0.2180785971807994,3
N_sweep,0,50,4000,0.15,0.3,24,0.0708682350109408,0.7559548075065176,0.2655,0.20095603136921514,4
N_sweep,0,50,4000,0.15,0.3,25,0.0707115559158534,0.7640692914500629,0.3225,0.21221702546032725,4
N_sweep,0,50,4000,0.15,0.3,26,0.07472558004011996,0.7540845926038591,0.28575,0.20748974317042823,4
N_sweep,0,50,4000,0.15,0.3,27,0.05689103221345143,0.7847146628141456,0.348,0.19561912854898697,3
N_sweep,0,50,4000,0.15,0.3,28,0.06924097456560686,0.7674395256310119,0.35875,0.20034488535194991,3
N_sweep,0,50,4000,0.15,0.3,29,0.08472522887089155,0.7455197242766244,0.26225,0.20720168880211098,4
N_sweep,0,100,4000,0.15,0.3,0,0.06749901313203446,0.7623701810504533,0.28725,0.20034438864386087,4
N_sweep,0,100,4000,0.15,0.3,1,0.08648083731186845,0.7367719837093625,0.30625,0.21582191342202356,3
N_sweep,0,100,4000,0.15,0.3,2,0.08009315054582113,0.7465790611059144,0.292,0.2276230827210125,4
N_sweep,0,100,4000,0.15,0.3,3,0.0776873292152359,0.7537269285097038,0.32075,0.22027405530102806,5
N_sweep,0,100,4000,0.15,0.3,4,0.07228715834768906,0.7559206492443693,0.31025,0.22083827184412994,3
N_sweep,0,100,4000,0.15,0.3,5,0.06815037278196007,0.7638171014140536,0.34125,0.2577494398486564,3
N_sweep,0,100,4000,0.15,0.3,6,0.07098130783282695,0.759213462808917,0.308,0.21478968607155735,4
N_sweep,0,100,4000,0.15,0.3,7,0.07649562063052373,0.7543028789098358,0.32,0.20961383547840007,4
N_sweep,0,100,4000,0.15,0.3,8,0.076900583757424,0.7516145554330412,0.314,0.21942176051219384,3
N_sweep,0,100,4000,0.15,0.3,9,0.06580935052458402,0.766097451017862,0.35325,0.22533308031092686,4
N_sweep,0,100,4000,0.15,0.3,10,0.07609025050432083,0.75490634840732,0.3215,0.22179034105207013,3
N_sweep,0,100,4000,0.15,0.3,11,0.07861643645223024,0.750573321913828,0.3175,0.22143457836622493,3
N_sweep,0,100,4000,0.15,0.3,12,0.0822098333692043,0.7494652979330776,0.34325,0.24678424632907803,3
N_sweep,0,100,4000,0.15,0.3,13,0.0713669506759307,0.7554683067616526,0.327,0.20778371753561603,4
