beta,N,T,seed,variance,engagement,update_rate,bimodality,n_clusters
0,50,2000,0,0.056572134205281,0.7824257851298926,0.326,0.21893095221812295,4
0,50,2000,1,0.08722998249109132,0.7359038885689015,0.303,0.22067434978163789,4
0,50,2000,2,0.07832699470132715,0.743069330696526,0.2685,0.2135585575710959,4
0,50,2000,3,0.060347327679645756,0.7806782739281427,0.393,0.19101339697782344,4
0,50,2000,4,0.07659016546286032,0.7477757358372734,0.317,0.22015827166115604,3
0,50,2000,5,0.07460405893511286,0.7520047367570396,0.322,0.2054957507381664,3
0,50,2000,6,0.07612460905622952,0.7516137917872984,0.312,0.21022126502972965,3
0,50,2000,7,0.07685224711609032,0.7565818271874246,0.3525,0.2293259968060004,4
0,50,2000,8,0.07099633861116764,0.7634362563683393,0.321,0.21542146854160424,3
0,50,2000,9,0.06821098378947936,0.7540227407088259,0.3,0.20597902736339987,3
0,50,2000,10,0.09155155303790595,0.7415932669332735,0.3425,0.2339788729464415,4
0,50,2000,11,0.06388178811177357,0.7649854063474556,0.3205,0.20720194742587886,3
0,50,2000,12,0.052218140285476,0.7892251874485534,0.3815,0.2707284789740327,4
0,50,2000,13,0.07898458834247389,0.7516298150538324,0.309,0.23302152403141727,3
0,50,2000,14,0.07071534751651103,0.7610604030207818,0.2885,0.1965126718402817,4
0,50,2000,15,0.0728121479692123,0.7567241369569451,0.3425,0.24733790794143873,3
0,50,2000,16,0.07832274213201364,0.7532415148098953,0.344,0.25136504410063687,4
0,50,2000,17,0.0649025767071095,0.7661986265419041,0.2735,0.1818678578531282,4
0,50,2000,18,0.06817664265789275,0.7702033505207357,0.3425,0.22231120168676025,3
0,50,2000,19,0.0611499930458977,0.7746993252760833,0.352,0.27632002964482993,3
0,50,2000,20,0.07775384760297648,0.7545360228109242,0.341,0.2656090070722579,4
0,50,2000,21,0.08025767651462962,0.7543061413523361,0.3445,0.23395105517355966,3
0,50,2000,22,0.06508318088350705,0.757766403160549,0.279,0.21478734526237123,3
0,50,2000,23,0.09360331623609854,0.7261837103125443,0.257,0.2079147921397559,4
0,50,2000,24,0.0757764291218428,0.7504870101708934,0.33,0.19828977724442334,3
0,50,2000,25,0.08880162920564447,0.7348185541344442,0.2935,0.22972784229394655,4
0,50,2000,26,0.07624785304674017,0.7551466790322784,0.2785,0.21715969721154968,4
0,50,2000,27,0.06886156087905926,0.7727534117432885,0.358,0.2679744723641917,6
0,50,2000,28,0.06703553536060385,0.7659163198066072,0.3545,0.17882615134608262,4
0,50,2000,29,0.07853683873130263,0.7412927045447996,0.26,0.2361843457647858,4
0,100,4000,0,0.057185865616633934,0.7862144564536524,0.4215,0.23208891343364335,4
0,100,4000,1,0.0633837113341463,0.7739423178981004,0.3325,0.21598540058405719,3
0,100,4000,2,0.07324667485346485,0.7626698206554855,0.3575,0.22958840936330221,4
0,100,4000,3,0.07757603278631763,0.7499623352359625,0.31375,0.25759811073646,4
0,100,4000,4,0.07864026621972432,0.7484142699077189,0.312,0.21929220217616258,3
0,100,4000,5,0.0784875707528951,0.7449772508428143,0.273,0.20935834213302185,4
0,100,4000,6,0.07155682588564613,0.7627886222964217,0.35125,0.2592327741732426,4
0,100,4000,7,0.08509651358859018,0.74074007999239,0.30725,0.22504763999612407,4
0,100,4000,8,0.06483676363084641,0.7685807516023369,0.3175,0.279776089014392,4
0,100,4000,9,0.0647829492124502,0.7665255328366553,0.334,0.23069964919941113,3
0,100,4000,10,0.07975011781059557,0.7457307320660974,0.31375,0.2226108180460192,3
0,100,4000,11,0.0596442623791307,0.7738602672796985,0.30825,0.209862008630869,4
0,100,4000,12,0.053615149399805766,0.7814653906478124,0.3555,0.20645869372108727,4
0,100,4000,13,0.05979831492127584,0.7792260439036122,0.3645,0.17946320669054935,4
0,100,4000,14,0.07396235840779056,0.755535692778846,0.3285,0.2180841687184648,3
0,100,4000,15,0.07454468570059408,0.750019848141749,0.307,0.21645500807238918,3
0,100,4000,16,0.0747764295194128,0.7594262255769147,0.33175,0.22043749874843926,3
0,100,4000,17,0.08029458810248784,0.7512283811101357,0.3415,0.22855738130730907,3
0,100,4000,18,0.07014722392303412,0.7588127114438695,0.26775,0.19120315246574132,4
0,100,4000,19,0.06809094583835701,0.7615713052387545,0.32025,0.2185706423223929,4
0,100,4000,20,0.06799312105113123,0.7539468103918686,0.28575,0.21417043865538993,4
0,100,4000,21,0.06766120106940482,0.7606903471437654,0.31625,0.2113503132600465,5
0,100,4000,22,0.06166476122128671,0.7719111697745887,0.305,0.18125939973932376,6
0,100,4000,23,0.06649245269800669,0.7645658136113562,0.3405,0.2474356609450301,3
0,100,4000,24,0.08032861107597167,0.7420566196280782,0.2935,0.22399658497532568,4
0,100,4000,25,0.07760012386782882,0.7585097442391644,0.37075,0.2419380354543663,3
0,100,4000,26,0.07238707664338426,0.7478946979362511,0.309,0.2217174210178743,3
0,100,4000,27,0.07455107610450823,0.7587816213202456,0.39375,0.29414085304461196,4
0,100,4000,28,0.06422326702451575,0.7707964253136279,0.33175,0.21793276678466947,4
0,100,4000,29,0.07143435379431386,0.7515327427924449,0.272,0.21414214020280067,4
0,200,8000,0,0.06953762965869945,0.7613968940578812,0.340375,0.24262158723635255,4
0,200,8000,1,0.07623484217516725,0.7538950735891874,0.3285,0.2360725771402596,8
0,200,8000,2,0.07654368712887302,0.7505610300967529,0.327375,0.22391635617044794,5
0,200,8000,3,0.06464244920532529,0.7653798413490034,0.330375,0.20134556337160464,6
0,200,8000,4,0.07011362943726927,0.7622504467287582,0.34525,0.23116692020101784,5
0,200,8000,5,0.06930754922697284,0.7569439053131443,0.317125,0.2295563518960562,5
0,200,8000,6,0.06712571750183029,0.7578186055909936,0.297,0.22055296689326873,4
0,200,8000,7,0.06329616645418285,0.7670985346364503,0.327875,0.2517049824211,3
0,200,8000,8,0.05937479470188109,0.7727690661995732,0.39925,0.29532784160766673,5
0,200,8000,9,0.07780058631166051,0.7435237452580482,0.28075,0.22248337593217593,9
0,200,8000,10,0.06599598693210235,0.7591869522641451,0.3475,0.23993931986594833,7
0,200,8000,11,0.06278074942288411,0.771082100073224,0.395625,0.25220641415035894,9
0,200,8000,12,0.06389008673542194,0.7685828958269405,0.328875,0.2251349894446974,4
0,200,8000,13,0.06702816677841156,0.7629416756756089,0.325875,0.2321487815233881,4
0,200,8000,14,0.06599042414623503,0.7573662086038212,0.322125,0.2319998334034069,6
0,200,8000,15,0.07087486184366788,0.7523814886676803,0.327125,0.23181334573756196,8
0,200,8000,16,0.06076713433673699,0.7674915158417388,0.308875,0.2201491156411316,5
0,200,8000,17,0.06759080285709505,0.761725486466265,0.3255,0.21673874137066093,6
0,200,8000,18,0.0782583885577749,0.7482108908158079,0.323125,0.21999352899409355,4
0,200,8000,19,0.07677225837577643,0.7495759590474164,0.308125,0.23369507488204044,3
0,200,8000,20,0.07320860415118624,0.7571188443834542,0.347125,0.23652544908956374,4
0,200,8000,21,0.07488186863018248,0.7473117294364088,0.300375,0.2152385735332527,5
0,200,8000,22,0.08066909539908522,0.7497520726122264,0.340125,0.23700789368897968,4
0,200,8000,23,0.0649421434472218,0.7644346951812712,0.33525,0.21116505193006319,3
0,200,8000,24,0.07974089819274834,0.7423653137075971,0.292875,0.2290385812078008,8
0,200,8000,25,0.06366322055691982,0.7679305135673535,0.329375,0.23152678812136598,4
0,200,8000,26,0.06217268082278018,0.7669426352726745,0.3185,0.2346550390470767,5
0,200,8000,27,0.06510703360412341,0.7699453323861021,0.338125,0.20398474768613767,7
0,200,8000,28,0.0615483174632716,0.7706093157619549,0.347625,0.23300429580230658,4
0,200,8000,29,0.06356151269871281,0.7687726176949246,0.359375,0.27757326664177173,4
0,400,16000,0,0.06764322677409867,0.7582617539869742,0.32325,0.21844808625703335,4
0,400,16000,1,0.07218400768747597,0.7521872863796344,0.3093125,0.2204073756824374,3
0,400,16000,2,0.07199333316203686,0.7568075736403411,0.3168125,0.22324377870484907,4
0,400,16000,3,0.07054299030356505,0.7559920948465085,0.3173125,0.2341398953055501,6
0,400,16000,4,0.07029735629131034,0.7564710885430582,0.316625,0.2174476389797924,6
0,400,16000,5,0.07191178208582291,0.7558709201200123,0.32325,0.22674752899729128,5
0,400,16000,6,0.06861693757936628,0.7609029450776063,0.3204375,0.21872893104354865,3
0,400,16000,7,0.07051905357611898,0.7590600164303402,0.3381875,0.2321054500484958,7
0,400,16000,8,0.06584475308741483,0.7615984408424292,0.3233125,0.22581484028056778,5
0,400,16000,9,0.07542982401725601,0.7496011027933697,0.3215625,0.22905069433543432,4
0,400,16000,10,0.06720288388645144,0.7576078020543898,0.32175,0.23031238605690008,4
0,400,16000,11,0.06572444350725189,0.7594524540095035,0.2725625,0.21990100637461496,7
0,400,16000,12,0.058792701680856194,0.7737630354574456,0.390125,0.24696513799127243,16
0,400,16000,13,0.05892832025278127,0.7680163362492841,0.3380625,0.23440399036801224,18
0,400,16000,14,0.06507695078867444,0.7616133424972816,0.3290625,0.21739333712609946,15
0,400,16000,15,0.06288896999241998,0.7678490334392726,0.3256875,0.21899354944594254,4
