tag,beta,N,T,epsilon,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
beta_sweep,-10,100,4000,0.15,0.3,0,0.07257447871649808,0.5501548332792839,0.007,0.22821934361006221,11
beta_sweep,-10,100,4000,0.15,0.3,1,0.07192827071270859,0.55280786786491,0.01175,0.22246506275244518,9
beta_sweep,-10,100,4000,0.15,0.3,2,0.07486815854929317,0.5469163654899842,0.0085,0.19946361321164208,16
beta_sweep,-10,100,4000,0.15,0.3,3,0.08022229445747196,0.5422522775131237,0.00925,0.21408965070475125,14
beta_sweep,-10,100,4000,0.15,0.3,4,0.07570839797111859,0.5428021813121541,0.0065,0.20082341916427468,14
beta_sweep,-10,100,4000,0.15,0.3,5,0.08120552305264361,0.5337580448884712,0.007,0.2035060984473721,15
beta_sweep,-10,100,4000,0.15,0.3,6,0.0794010407535902,0.5405783968222037,0.00625,0.20780487739718118,14
beta_sweep,-10,100,4000,0.15,0.3,7,0.07860577605116581,0.5461703446864357,0.01075,0.203947575274693,14
beta_sweep,-10,100,4000,0.15,0.3,8,0.07634677520152694,0.5452820699877695,0.01,0.19877664000481962,15
beta_sweep,-10,100,4000,0.15,0.3,9,0.07142295796821725,0.5545380085492153,0.00975,0.1982742237701316,13
beta_sweep,-10,100,4000,0.15,0.3,10,0.09009132016474085,0.5220623527979745,0.005,0.22062432110929633,15
beta_sweep,-10,100,4000,0.15,0.3,11,0.07201459645201702,0.5558005726359038,0.0095,0.20908845838273185,12
beta_sweep,-10,100,4000,0.15,0.3,12,0.08336059782128073,0.5372285888381536,0.00625,0.207238395850361,10
beta_sweep,-10,100,4000,0.15,0.3,13,0.08213869740177648,0.5306136131918094,0.00575,0.20396366585860634,15
beta_sweep,-10,100,4000,0.15,0.3,14,0.09022236815356825,0.5210908081187976,0.005,0.20395619379829533,13
beta_sweep,-10,100,4000,0.15,0.3,15,0.06271510851899027,0.5742932151663708,0.018,0.19468226409438188,15
beta_sweep,-10,100,4000,0.15,0.3,16,0.08926599244920425,0.5237871828350542,0.006,0.2130396137544289,17
beta_sweep,-10,100,4000,0.15,0.3,17,0.08380155726534655,0.5326744645185353,0.00775,0.20582594882079713,13
beta_sweep,-10,100,4000,0.15,0.3,18,0.08531688005079953,0.5304005648254586,0.0065,0.2023190369217204,13
beta_sweep,-10,100,4000,0.15,0.3,19,0.08004337274304091,0.5414893517639836,0.008,0.20395311678175687,11
beta_sweep,-10,100,4000,0.15,0.3,20,0.0847794363916449,0.528490054429938,0.00625,0.20937290248404608,13
beta_sweep,-10,100,4000,0.15,0.3,21,0.0697833197582694,0.5661676617285906,0.01075,0.21097411728056287,17
beta_sweep,-10,100,4000,0.15,0.3,22,0.07906898106572116,0.5456153184478126,0.008,0.2112963188379838,11
beta_sweep,-10,100,4000,0.15,0.3,23,0.08758033493378793,0.5310072227913331,0.00575,0.20528885038709138,17
beta_sweep,-10,100,4000,0.15,0.3,24,0.08093769051858757,0.5378866719429362,0.00725,0.19986529152596258,15
beta_sweep,-10,100,4000,0.15,0.3,25,0.07276580283525162,0.5519616827494922,0.009,0.20418591294745003,13
beta_sweep,-10,100,4000,0.15,0.3,26,0.07721183815900944,0.5446196510044218,0.01225,0.1990456093865288,17
beta_sweep,-10,100,4000,0.15,0.3,27,0.07173366091999546,0.5556382819536415,0.0095,0.2021041397444917,13
beta_sweep,-10,100,4000,0.15,0.3,28,0.08060997550998619,0.5367035557284315,0.00725,0.20465954476995857,19
beta_sweep,-10,100,4000,0.15,0.3,29,0.07754039597782404,0.5407103465823002,0.0065,0.20631144643436142,15
beta_sweep,-5,100,4000,0.15,0.3,0,0.07045110569042425,0.6093511228483541,0.062,0.19390825284352484,12
beta_sweep,-5,100,4000,0.15,0.3,1,0.07659029282848516,0.6002137015184653,0.05975,0.20854342006816629,13
beta_sweep,-5,100,4000,0.15,0.3,2,0.06629954743819437,0.6271877761988509,0.06625,0.20433954327955522,8
beta_sweep,-5,100,4000,0.15,0.3,3,0.06779672792985131,0.6171992780659775,0.06625,0.19747628515794596,13
beta_sweep,-5,100,4000,0.15,0.3,4,0.0845546719294202,0.5831360587334004,0.0375,0.212064157122156,14
beta_sweep,-5,100,4000,0.15,0.3,5,0.0855411855969968,0.5810080441057194,0.04575,0.21645518404812905,19
beta_sweep,-5,100,4000,0.15,0.3,6,0.07896090847610075,0.5924286035947539,0.0465,0.20013955491917204,17
beta_sweep,-5,100,4000,0.15,0.3,7,0.07139601617247866,0.6007699944927382,0.06175,0.24216598986991006,11
beta_sweep,-5,100,4000,0.15,0.3,8,0.08883218894960734,0.5733967110141419,0.04775,0.21555532249519027,12
beta_sweep,-5,100,4000,0.15,0.3,9,0.06483335643765596,0.6211564336030281,0.06,0.20001008062858272,14
beta_sweep,-5,100,4000,0.15,0.3,10,0.07282177004443711,0.6038182072121322,0.0555,0.21058653802311153,16
beta_sweep,-5,100,4000,0.15,0.3,11,0.08369600908137993,0.5861948761880945,0.048,0.21689914453654274,13
beta_sweep,-5,100,4000,0.15,0.3,12,0.06286671863724688,0.6340737359230091,0.07525,0.19141522265807048,14
beta_sweep,-5,100,4000,0.15,0.3,13,0.06491567068808622,0.6222814750495671,0.06825,0.2375983886066779,12
beta_sweep,-5,100,4000,0.15,0.3,14,0.07414599057807561,0.6028673320255105,0.057,0.19945350343338394,14
beta_sweep,-5,100,4000,0.15,0.3,15,0.08142111189393024,0.5920868509443313,0.056,0.20234505204330228,13
beta_sweep,-5,100,4000,0.15,0.3,16,0.07216694139684096,0.6045098951252935,0.05575,0.21267418176522632,13
beta_sweep,-5,100,4000,0.15,0.3,17,0.08551842648153889,0.5780896483733022,0.04325,0.21302120110215658,12
beta_sweep,-5,100,4000,0.15,0.3,18,0.07298238199936352,0.6027222899360506,0.064,0.21426820935776744,16
beta_sweep,-5,100,4000,0.15,0.3,19,0.07618427222620407,0.5975413656558713,0.05375,0.2160087782250853,13
beta_sweep,-5,100,4000,0.15,0.3,20,0.07170426584770062,0.6117927115344902,0.0665,0.20032246431399478,13
beta_sweep,-5,100,4000,0.15,0.3,21,0.08339148654837636,0.5860848411039301,0.047,0.20240567865919135,12
beta_sweep,-5,100,4000,0.15,0.3,22,0.06215986043798366,0.6281360338938852,0.072,0.20967291798773752,10
beta_sweep,-5,100,4000,0.15,0.3,23,0.07399454479143046,0.603399104001232,0.0635,0.2289201288609537,10
beta_sweep,-5,100,4000,0.15,0.3,24,0.07971872027025514,0.5974345565687621,0.061,0.20200663598867344,12
beta_sweep,-5,100,4000,0.15,0.3,25,0.09519629136144035,0.5613475656686584,0.03625,0.21450447245240917,17
beta_sweep,-5,100,4000,0.15,0.3,26,0.07154933380828098,0.6089278459682492,0.05525,0.21003383155652547,13
beta_sweep,-5,100,4000,0.15,0.3,27,0.07923392751159926,0.5913564858492576,0.05125,0.2208558769226453,16
beta_sweep,-5,100,4000,0.15,0.3,28,0.07550361641242663,0.5983092343498114,0.0545,0.21011442578494655,12
beta_sweep,-5,100,4000,0.15,0.3,29,0.09279696059138262,0.5662306883323174,0.0435,0.21365352127028067,14
beta_sweep,-2,100,4000,0.15,0.3,0,0.06927181550752483,0.6855601069063995,0.1565,0.20115089295245514,5
beta_sweep,-2,100,4000,0.15,0.3,1,0.09041909742995026,0.6451842578709668,0.1545,0.22819166644914307,7
beta_sweep,-2,100,4000,0.15,0.3,2,0.060993731586820116,0.7062937354494166,0.16425,0.19639870987583735,4
beta_sweep,-2,100,4000,0.15,0.3,3,0.07066808544302079,0.6838697352988735,0.1625,0.2191459004143912,4
beta_sweep,-2,100,4000,0.15,0.3,4,0.07429223757911031,0.6791859185371643,0.13875,0.23060738743973305,5
beta_sweep,-2,100,4000,0.15,0.3,5,0.06928583544684473,0.6923858669311576,0.177,0.21577822240693553,4
beta_sweep,-2,100,4000,0.15,0.3,6,0.07488876950329508,0.6770294488262105,0.1725,0.20923827740285292,7
beta_sweep,-2,100,4000,0.15,0.3,7,0.04897878019450008,0.7370423444265987,0.2085,0.21124210577405914,3
beta_sweep,-2,100,4000,0.15,0.3,8,0.05757561281373482,0.7008668536928242,0.19925,0.2224769167578627,8
beta_sweep,-2,100,4000,0.15,0.3,9,0.06663107859734647,0.6870480420990578,0.167,0.23787635970745982,7
beta_sweep,-2,100,4000,0.15,0.3,10,0.06457448348694714,0.6875358474439979,0.177,0.23227731817137898,6
