tag,beta,epsilon,N,T,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
eps_sweep,0,0.05,100,4000,0.3,0,0.07803400421902512,0.7396898219548119,0.11325,0.1985681597520926,11
eps_sweep,0,0.05,100,4000,0.3,1,0.0855720438844143,0.7345262588418134,0.1095,0.2346372962769772,12
eps_sweep,0,0.05,100,4000,0.3,2,0.09432738780310529,0.7227388099728135,0.103,0.20984263350872742,11
eps_sweep,0,0.05,100,4000,0.3,3,0.07079620824464096,0.7524430544798472,0.1,0.19825725334655359,12
eps_sweep,0,0.05,100,4000,0.3,4,0.07683110294236693,0.7475382425495988,0.10575,0.1986998176324579,11
eps_sweep,0,0.05,100,4000,0.3,5,0.08816010848534148,0.7323183690343581,0.09975,0.20957770464494213,11
eps_sweep,0,0.05,100,4000,0.3,6,0.0783701866183923,0.7437298602652622,0.106,0.20601392337389252,12
eps_sweep,0,0.05,100,4000,0.3,7,0.07692077257932779,0.7440031291633042,0.12025,0.20379527128571662,10
eps_sweep,0,0.05,100,4000,0.3,8,0.07939144123686974,0.7421151327394685,0.106,0.22097981084108087,11
eps_sweep,0,0.05,100,4000,0.3,9,0.07845092048309045,0.7363564512015911,0.08875,0.20855267696185004,15
eps_sweep,0,0.05,100,4000,0.3,10,0.07457651862470527,0.7473996973499524,0.10175,0.20253193577889494,13
eps_sweep,0,0.05,100,4000,0.3,11,0.08236334270581032,0.731617868900549,0.094,0.20562833661593746,11
eps_sweep,0,0.05,100,4000,0.3,12,0.08807021772216952,0.7254213743515454,0.10875,0.21411755784616548,12
eps_sweep,0,0.05,100,4000,0.3,13,0.08653363626824513,0.7317654964736257,0.1135,0.21696780337569033,13
eps_sweep,0,0.05,100,4000,0.3,14,0.09253372317986187,0.7239256431265347,0.09875,0.21338591259021641,12
eps_sweep,0,0.05,100,4000,0.3,15,0.06944059746353644,0.7524417691179575,0.09875,0.20123253444285955,12
eps_sweep,0,0.05,100,4000,0.3,16,0.08219949451634596,0.7349443954900815,0.11625,0.2033486071417473,11
eps_sweep,0,0.05,100,4000,0.3,17,0.07494349164963734,0.744654829499838,0.097,0.20512671640391747,9
