skill,lam,team_acc_mean,overreliance_mean,calib_error_mean
high,0.0,0.940204678362573,0.031725146198830406,0.051437550686336375
high,0.1,0.9375730994152047,0.034064327485380116,0.051437550683292595
high,0.2,0.9375730994152047,0.034064327485380116,0.051437550683292595
high,0.3,0.9375730994152047,0.034064327485380116,0.051437550683292595
high,0.4,0.941374269005848,0.03084795321637427,0.051437562003811416
high,0.45,0.9349415204678363,0.03669590643274854,0.04819421410172751
high,0.5,0.941812865497076,0.031725146198830406,0.05129841938257867
high,0.55,0.8549707602339182,0.10701754385964911,0.0857857773248961
high,0.6,0.8549707602339182,0.10701754385964911,0.0857857773248961
high,0.7,0.8549707602339182,0.10701754385964911,0.0857857773248961
high,0.85,0.8549707602339182,0.10701754385964911,0.0857857773248961
high,1.0,0.8549707602339182,0.10701754385964911,0.0857857773248961
low,0.0,0.9232456140350876,0.02412280701754386,0.051437550686336375
low,0.1,0.9198830409356725,0.026461988304093565,0.051437550683292595
low,0.2,0.9198830409356725,0.026461988304093565,0.051437550683292595
low,0.3,0.9198830409356725,0.026461988304093565,0.051437550683292595
low,0.4,0.923391812865497,0.02368421052631579,0.051437560460104295
low,0.45,0.923391812865497,0.02368421052631579,0.051437560460104295
low,0.5,0.9111111111111111,0.031578947368421054,0.0465786798210072
low,0.55,0.9115497076023391,0.032017543859649125,0.057451755295031014
low,0.6,0.9011695906432748,0.039473684210526314,0.057758634237389785
low,0.7,0.6406432748538011,0.19970760233918128,0.31293044322130775
low,0.85,0.6406432748538011,0.19970760233918128,0.31293044322130775
low,1.0,0.6406432748538011,0.19970760233918128,0.31293044322130775
medium,0.0,0.9323099415204678,0.02807017543859649,0.051437550686336375
medium,0.1,0.9293859649122808,0.0304093567251462,0.051437550683292595
medium,0.2,0.9293859649122808,0.0304093567251462,0.051437550683292595
medium,0.3,0.9293859649122808,0.0304093567251462,0.051437550683292595
medium,0.4,0.9334795321637427,0.02719298245614035,0.051437562003811416
medium,0.45,0.9282163742690058,0.031725146198830406,0.051410951875778495
medium,0.5,0.9254385964912281,0.034064327485380116,0.055548324535678054
medium,0.55,0.9226608187134502,0.03654970760233918,0.055672937883004106
medium,0.6,0.7530701754385964,0.1624269005847953,0.20084027163330642
medium,0.7,0.7530701754385964,0.1624269005847953,0.20084027163330642
medium,0.85,0.7530701754385964,0.1624269005847953,0.20084027163330642
medium,1.0,0.7530701754385964,0.1624269005847953,0.20084027163330642
