skill,lam,team_acc_mean
low,0.4,0.9233918128654973
low,0.41,0.9233918128654973
low,0.42,0.9233918128654973
low,0.43,0.9233918128654973
low,0.44,0.9233918128654973
low,0.45,0.9182748538011699
low,0.46,0.91593567251462
low,0.47,0.91593567251462
low,0.48,0.91593567251462
low,0.49,0.91593567251462
low,0.5,0.9111111111111114
low,0.51,0.9111111111111114
low,0.52,0.9111111111111114
low,0.53,0.9146198830409359
low,0.54,0.9115497076023394
low,0.55,0.9115497076023394
low,0.56,0.9115497076023394
low,0.57,0.9115497076023394
low,0.58,0.9141812865497078
low,0.59,0.9141812865497078
low,0.6,0.9127192982456143
low,0.61,0.9165204678362574
low,0.62,0.9115497076023392
low,0.63,0.9083333333333335
low,0.64,0.9055555555555558
low,0.65,0.9011695906432752
low,0.66,0.9011695906432752
low,0.67,0.8995614035087721
low,0.68,0.8995614035087721
low,0.69,0.8973684210526317
low,0.7,0.8956140350877194
low,0.71,0.8913742690058482
low,0.72,0.8842105263157897
low,0.73,0.8842105263157897
low,0.74,0.8796783625730995
low,0.75,0.8706140350877194
low,0.76,0.8612573099415205
low,0.77,0.8567251461988303
low,0.78,0.8464912280701753
low,0.79,0.8182748538011695
low,0.8,0.8097953216374271
low,0.81,0.8055555555555556
low,0.82,0.8026315789473684
low,0.83,0.7947368421052633
low,0.84,0.772076023391813
low,0.85,0.7536549707602338
low,0.86,0.7441520467836256
low,0.87,0.7266081871345029
low,0.88,0.7008771929824561
low,0.89,0.6846491228070177
low,0.9,0.6694444444444446
low,0.91,0.6548245614035088
low,0.92,0.6406432748538011
low,0.93,0.6406432748538011
low,0.94,0.6406432748538011
low,0.95,0.6406432748538011
low,0.96,0.6406432748538011
low,0.97,0.6406432748538011
low,0.98,0.6406432748538011
low,0.99,0.6406432748538011
medium,0.4,0.9334795321637426
medium,0.41,0.931140350877193
medium,0.42,0.9295321637426902
medium,0.43,0.9282163742690059
medium,0.44,0.9282163742690059
medium,0.45,0.9282163742690059
medium,0.46,0.9248538011695909
medium,0.47,0.9248538011695909
medium,0.48,0.9280701754385966
medium,0.49,0.9254385964912282
medium,0.5,0.9254385964912282
medium,0.51,0.9254385964912282
medium,0.52,0.9254385964912282
medium,0.53,0.9279239766081873
medium,0.54,0.9289473684210527
medium,0.55,0.9323099415204678
medium,0.56,0.9289473684210525
medium,0.57,0.924561403508772
medium,0.58,0.9226608187134503
medium,0.59,0.9226608187134503
medium,0.6,0.9216374269005848
medium,0.61,0.9216374269005848
medium,0.62,0.9204678362573102
medium,0.63,0.9194444444444446
medium,0.64,0.9176900584795323
medium,0.65,0.9135964912280704
medium,0.66,0.9122807017543862
medium,0.67,0.9096491228070177
medium,0.68,0.9059941520467837
medium,0.69,0.8998538011695909
medium,0.7,0.898245614035088
medium,0.71,0.8942982456140351
medium,0.72,0.8903508771929827
medium,0.73,0.8719298245614036
medium,0.74,0.8685672514619883
medium,0.75,0.8657894736842106
medium,0.76,0.8619883040935671
medium,0.77,0.8606725146198829
medium,0.78,0.850438596491228
medium,0.79,0.8429824561403507
medium,0.8,0.8305555555555555
medium,0.81,0.8247076023391813
medium,0.82,0.8207602339181288
medium,0.83,0.8131578947368422
medium,0.84,0.7960526315789475
medium,0.85,0.7866959064327486
medium,0.86,0.7798245614035089
medium,0.87,0.7745614035087719
medium,0.88,0.7634502923976608
medium,0.89,0.7530701754385963
medium,0.9,0.7530701754385963
medium,0.91,0.7530701754385963
medium,0.92,0.7530701754385963
medium,0.93,0.7530701754385963
medium,0.94,0.7530701754385963
medium,0.95,0.7530701754385963
medium,0.96,0.7530701754385963
medium,0.97,0.7530701754385963
medium,0.98,0.7530701754385963
medium,0.99,0.7530701754385963
high,0.4,0.9371345029239764
high,0.41,0.9371345029239764
high,0.42,0.9349415204678361
high,0.43,0.93859649122807
high,0.44,0.936988304093567
high,0.45,0.936988304093567
high,0.46,0.936988304093567
high,0.47,0.9393274853801168
high,0.48,0.9413742690058479
high,0.49,0.9432748538011694
high,0.5,0.9418128654970759
high,0.51,0.9404970760233916
high,0.52,0.9391812865497076
high,0.53,0.9387426900584794
high,0.54,0.9387426900584794
high,0.55,0.9380116959064326
high,0.56,0.9371345029239765
high,0.57,0.936549707602339
high,0.58,0.9352339181286549
high,0.59,0.9352339181286549
high,0.6,0.93406432748538
high,0.61,0.9296783625730993
high,0.62,0.9274853801169591
high,0.63,0.9248538011695907
high,0.64,0.9232456140350879
high,0.65,0.9176900584795323
high,0.66,0.9150584795321638
high,0.67,0.9118421052631581
high,0.68,0.9106725146198832
high,0.69,0.909795321637427
high,0.7,0.9086257309941522
high,0.71,0.9055555555555557
high,0.72,0.9010233918128656
high,0.73,0.8975146198830412
high,0.74,0.8942982456140351
high,0.75,0.8929824561403509
high,0.76,0.8915204678362574
high,0.77,0.8878654970760234
high,0.78,0.8826023391812865
high,0.79,0.8758771929824561
high,0.8,0.8719298245614036
high,0.81,0.8690058479532164
high,0.82,0.8672514619883042
high,0.83,0.8633040935672514
high,0.84,0.8616959064327484
high,0.85,0.854970760233918
high,0.86,0.854970760233918
high,0.87,0.854970760233918
high,0.88,0.854970760233918
high,0.89,0.854970760233918
high,0.9,0.854970760233918
high,0.91,0.854970760233918
high,0.92,0.854970760233918
high,0.93,0.854970760233918
high,0.94,0.854970760233918
high,0.95,0.854970760233918
high,0.96,0.854970760233918
high,0.97,0.854970760233918
high,0.98,0.854970760233918
high,0.99,0.854970760233918
