skill,lam,team_acc_mean
low,0.4,0.9233918128654973
low,0.45,0.9182748538011699
low,0.5,0.9111111111111114
low,0.55,0.9115497076023394
low,0.6,0.9127192982456143
low,0.65,0.9011695906432752
low,0.7,0.8956140350877194
low,0.75,0.8706140350877194
low,0.8,0.8097953216374271
low,0.85,0.7536549707602338
low,1.0,0.6406432748538011
medium,0.4,0.9334795321637426
medium,0.45,0.9282163742690059
medium,0.5,0.9254385964912282
medium,0.55,0.9323099415204678
medium,0.6,0.9216374269005848
medium,0.65,0.9135964912280704
medium,0.7,0.898245614035088
medium,0.75,0.8657894736842106
medium,0.8,0.8305555555555555
medium,0.85,0.7866959064327486
medium,1.0,0.7530701754385963
high,0.4,0.9371345029239764
high,0.45,0.936988304093567
high,0.5,0.9418128654970759
high,0.55,0.9380116959064326
high,0.6,0.93406432748538
high,0.65,0.9176900584795323
high,0.7,0.9086257309941522
high,0.75,0.8929824561403509
high,0.8,0.8719298245614036
high,0.85,0.854970760233918
high,1.0,0.854970760233918
