variant,skill,lambda,seed,team_acc,overreliance,calib_error,harmful_flip,beneficial_flip,final_trust,skill_name
binary,0.55,0.0,0,0.9210526315789473,0.02631578947368421,0.05143755067993705,0.0,0.0,0.9988059717325686,low
binary,0.55,0.0,1,0.9342105263157895,0.03070175438596491,0.051437550681767585,0.0,0.0,0.9988059717343991,low
binary,0.55,0.0,2,0.9298245614035088,0.017543859649122806,0.015118761443113193,0.0,0.0,0.9322496596095183,low
binary,0.55,0.0,3,0.8903508771929824,0.013157894736842105,0.05143169784268753,0.0,0.0,0.9988001188953191,low
binary,0.55,0.0,4,0.8377192982456141,0.02631578947368421,0.028982555831057688,0.0,0.0,0.9763509768836892,low
binary,0.55,0.0,5,0.9210526315789473,0.021929824561403508,0.05046435094894741,0.0,0.0,0.9978327720015789,low
binary,0.55,0.0,6,0.9210526315789473,0.03070175438596491,0.04723698650503405,0.0,0.0,0.9946054075576656,low
binary,0.55,0.0,7,0.8859649122807017,0.017543859649122806,0.05143654903707784,0.0,0.0,0.9988049700897094,low
binary,0.55,0.0,8,0.9517543859649122,0.017543859649122806,0.05143755068633116,0.0,0.0,0.9988059717389627,low
binary,0.55,0.0,9,0.8991228070175439,0.021929824561403508,0.05143742300421095,0.0,0.0,0.9988058440568425,low
binary,0.55,0.0,10,0.9254385964912281,0.02631578947368421,0.04649571047240353,0.0,0.0,0.993864131525035,low
binary,0.55,0.0,11,0.9254385964912281,0.013157894736842105,0.05029293674706792,0.0,0.0,0.9976613577996994,low
binary,0.55,0.0,12,0.8947368421052632,0.013157894736842105,0.05092967937918358,0.0,0.0,0.9982981004318151,low
binary,0.55,0.0,13,0.8640350877192983,0.013157894736842105,0.019237784586320528,0.0,0.0,0.966606205638952,low
binary,0.55,0.0,14,0.9166666666666666,0.03070175438596491,0.051437532439651656,0.0,0.0,0.9988059534922832,low
binary,0.55,0.0,15,0.9078947368421053,0.021929824561403508,0.05143755049253107,0.0,0.0,0.9988059715451626,low
binary,0.55,0.0,16,0.8728070175438597,0.021929824561403508,0.0514246313823975,0.0,0.0,0.998793052435029,low
binary,0.55,0.0,17,0.9473684210526315,0.03070175438596491,0.05084005505623346,0.0,0.0,0.998208476108865,low
binary,0.55,0.0,18,0.8991228070175439,0.02631578947368421,0.05143750253232804,0.0,0.0,0.9988059235849596,low
binary,0.55,0.0,19,0.8903508771929824,0.017543859649122806,0.041346837146030824,0.0,0.0,0.9887152581986624,low
binary,0.55,0.0,20,0.8991228070175439,0.03508771929824561,0.05143674767248452,0.0,0.0,0.998805168725116,low
binary,0.55,0.0,21,0.9210526315789473,0.013157894736842105,0.05143755068556699,0.0,0.0,0.9988059717381985,low
binary,0.55,0.0,22,0.8991228070175439,0.03070175438596491,0.051431240170347614,0.0,0.0,0.9987996612229791,low
binary,0.55,0.0,23,0.8859649122807017,0.013157894736842105,0.04949316266587944,0.0,0.0,0.996861583718511,low
binary,0.55,0.0,24,0.9342105263157895,0.03508771929824561,0.047236986504954226,0.0,0.0,0.9946054075575858,low
binary,0.55,0.0,25,0.9078947368421053,0.021929824561403508,0.03544677828577458,0.0,0.0,0.9828151993384061,low
binary,0.55,0.0,26,0.9078947368421053,0.03070175438596491,0.050137119020495446,0.0,0.0,0.997505540073127,low
binary,0.55,0.0,27,0.9078947368421053,0.02631578947368421,0.05046462883765512,0.0,0.0,0.9978330498902866,low
binary,0.55,0.0,28,0.8640350877192983,0.02631578947368421,0.05133236628374749,0.0,0.0,0.998700787336379,low
binary,0.55,0.0,29,0.9166666666666666,0.03508771929824561,0.05142035408735757,0.0,0.0,0.9987887751399891,low
binary,0.55,0.1,0,0.9078947368421053,0.021929824561403508,0.05143755067993672,0.0043859649122807015,0.0,0.9988059717325682,low
binary,0.55,0.1,1,0.9342105263157895,0.021929824561403508,0.05226453424116784,0.0043859649122807015,0.008771929824561403,0.9996329552937994,low
binary,0.55,0.1,2,0.9210526315789473,0.017543859649122806,0.015118761468197128,0.0043859649122807015,0.0,0.9322496595844344,low
binary,0.55,0.1,3,0.881578947368421,0.013157894736842105,0.051431697823073885,0.0043859649122807015,0.0,0.9988001188757054,low
binary,0.55,0.1,4,0.8464912280701754,0.021929824561403508,0.03589599354926565,0.0043859649122807015,0.0043859649122807015,0.9832644146018972,low
binary,0.55,0.1,5,0.9385964912280702,0.013157894736842105,0.05226425636838228,0.0,0.008771929824561403,0.9996326774210138,low
binary,0.55,0.1,6,0.9254385964912281,0.021929824561403508,0.04806397007075358,0.0043859649122807015,0.008771929824561403,0.9954323911233851,low
binary,0.55,0.1,7,0.8859649122807017,0.013157894736842105,0.05143654903708372,0.0043859649122807015,0.0043859649122807015,0.9988049700897152,low
binary,0.55,0.1,8,0.9517543859649122,0.013157894736842105,0.052264534252045025,0.0043859649122807015,0.0043859649122807015,0.9996329553046766,low
binary,0.55,0.1,9,0.8947368421052632,0.021929824561403508,0.051437422998839466,0.008771929824561403,0.0,0.998805844051471,low
binary,0.55,0.1,10,0.9342105263157895,0.017543859649122806,0.052264534256770245,0.0043859649122807015,0.008771929824561403,0.9996329553094018,low
binary,0.55,0.1,11,0.9254385964912281,0.013157894736842105,0.05029293674706792,0.0,0.0043859649122807015,0.9976613577996994,low
binary,0.55,0.1,12,0.8947368421052632,0.013157894736842105,0.05092967937918358,0.0,0.0,0.9982981004318151,low
binary,0.55,0.1,13,0.868421052631579,0.008771929824561403,0.019237784586326523,0.0,0.0043859649122807015,0.966606205638958,low
binary,0.55,0.1,14,0.9166666666666666,0.017543859649122806,0.05226451601074378,0.0043859649122807015,0.008771929824561403,0.9996329370633753,low
binary,0.55,0.1,15,0.9122807017543859,0.017543859649122806,0.05143755049253684,0.0,0.0043859649122807015,0.9988059715451684,low
binary,0.55,0.1,16,0.868421052631579,0.017543859649122806,0.05225161492492014,0.008771929824561403,0.0043859649122807015,0.9996200359775517,low
binary,0.55,0.1,17,0.9473684210526315,0.02631578947368421,0.051667038627318584,0.0043859649122807015,0.008771929824561403,0.9990354596799501,low
binary,0.55,0.1,18,0.9078947368421053,0.017543859649122806,0.05226448610341927,0.0043859649122807015,0.008771929824561403,0.9996329071560508,low
binary,0.55,0.1,19,0.8859649122807017,0.013157894736842105,0.04217382071174469,0.008771929824561403,0.0043859649122807015,0.9895422417643762,low
binary,0.55,0.1,20,0.8859649122807017,0.03070175438596491,0.0522637312435279,0.0043859649122807015,0.008771929824561403,0.9996321522961594,low
binary,0.55,0.1,21,0.9254385964912281,0.008771929824561403,0.051437550685572875,0.0,0.0043859649122807015,0.9988059717382044,low
binary,0.55,0.1,22,0.9210526315789473,0.021929824561403508,0.05225822373633182,0.008771929824561403,0.008771929824561403,0.9996266447889633,low
binary,0.55,0.1,23,0.8859649122807017,0.013157894736842105,0.04949316266587944,0.0,0.0043859649122807015,0.996861583718511,low
binary,0.55,0.1,24,0.9342105263157895,0.03070175438596491,0.052264534244517824,0.0043859649122807015,0.008771929824561403,0.9996329552971494,low
binary,0.55,0.1,25,0.8991228070175439,0.021929824561403508,0.0354467782804031,0.008771929824561403,0.0,0.9828151993330346,low
binary,0.55,0.1,26,0.9078947368421053,0.021929824561403508,0.0509641025787807,0.0043859649122807015,0.008771929824561403,0.9983325236314122,low
binary,0.55,0.1,27,0.9210526315789473,0.017543859649122806,0.052264534257081885,0.0,0.008771929824561403,0.9996329553097134,low
binary,0.55,0.1,28,0.8640350877192983,0.021929824561403508,0.051332366278382,0.008771929824561403,0.0043859649122807015,0.9987007873310135,low
binary,0.55,0.1,29,0.9210526315789473,0.02631578947368421,0.05224733765307721,0.0043859649122807015,0.008771929824561403,0.9996157587057087,low
binary,0.55,0.2,0,0.9078947368421053,0.021929824561403508,0.05143755067993672,0.0043859649122807015,0.0,0.9988059717325682,low
binary,0.55,0.2,1,0.9342105263157895,0.021929824561403508,0.05226453424116784,0.0043859649122807015,0.008771929824561403,0.9996329552937994,low
binary,0.55,0.2,2,0.9210526315789473,0.017543859649122806,0.015118761468197128,0.0043859649122807015,0.0,0.9322496595844344,low
binary,0.55,0.2,3,0.881578947368421,0.013157894736842105,0.051431697823073885,0.0043859649122807015,0.0,0.9988001188757054,low
binary,0.55,0.2,4,0.8464912280701754,0.021929824561403508,0.03589599354926565,0.0043859649122807015,0.0043859649122807015,0.9832644146018972,low
binary,0.55,0.2,5,0.9385964912280702,0.013157894736842105,0.05226425636838228,0.0,0.008771929824561403,0.9996326774210138,low
binary,0.55,0.2,6,0.9254385964912281,0.021929824561403508,0.04806397007075358,0.0043859649122807015,0.008771929824561403,0.9954323911233851,low
binary,0.55,0.2,7,0.8859649122807017,0.013157894736842105,0.05143654903708372,0.0043859649122807015,0.0043859649122807015,0.9988049700897152,low
binary,0.55,0.2,8,0.9517543859649122,0.013157894736842105,0.052264534252045025,0.0043859649122807015,0.0043859649122807015,0.9996329553046766,low
binary,0.55,0.2,9,0.8947368421052632,0.021929824561403508,0.051437422998839466,0.008771929824561403,0.0,0.998805844051471,low
binary,0.55,0.2,10,0.9342105263157895,0.017543859649122806,0.052264534256770245,0.0043859649122807015,0.008771929824561403,0.9996329553094018,low
binary,0.55,0.2,11,0.9254385964912281,0.013157894736842105,0.05029293674706792,0.0,0.0043859649122807015,0.9976613577996994,low
binary,0.55,0.2,12,0.8947368421052632,0.013157894736842105,0.05092967937918358,0.0,0.0,0.9982981004318151,low
binary,0.55,0.2,13,0.868421052631579,0.008771929824561403,0.019237784586326523,0.0,0.0043859649122807015,0.966606205638958,low
binary,0.55,0.2,14,0.9166666666666666,0.017543859649122806,0.05226451601074378,0.0043859649122807015,0.008771929824561403,0.9996329370633753,low
