topology,epsilon,alpha,n_seeds,variance_mean,variance_std,extremeness_mean,extremeness_std,frac_extreme_mean,frac_extreme_std,amp_ratio_mean,amp_ratio_std
mixing,0.35,0.0,8,0.22333508992973516,0.04031543868680135,0.42021609164979934,0.029392052714712347,0.46625000000000005,0.21397648819438084,1.0716862720729654,0.08513427627528797
mixing,0.35,0.05,8,0.23270510073405537,0.030608303428007973,0.42523014420123184,0.029502709832983337,0.45125,0.21445789213736108,1.0853363636187372,0.07586484699320778
mixing,0.35,0.1,8,0.23830700889428116,0.03611951089061538,0.42171823902569544,0.032055900152540125,0.56375,0.21470546686100006,1.1345261741028212,0.06590453372794491
mixing,0.35,0.15,8,0.22390282287447327,0.039627336917118096,0.41918987485843506,0.03269109402444521,0.43312500000000004,0.20832572902788554,1.1623910487737876,0.0788246032874705
mixing,0.35,0.2,8,0.21740207440432519,0.03999835666431453,0.4166932777219848,0.03192370794435923,0.39375000000000004,0.2117154635353781,1.1710993181529856,0.10341480762545757
mixing,0.35,0.25,8,0.22425335046254657,0.04852126747204612,0.4183543836230791,0.03233439887061927,0.43437499999999996,0.27695258506646947,1.166946310983036,0.10370153687439915
mixing,0.35,0.3,8,0.2317886411582839,0.03495678991979834,0.4185135971651799,0.029965322537907946,0.525625,0.22917566270221626,1.1773934789554708,0.09519121947585191
mixing,0.35,0.35,8,0.22592323365521438,0.04989295563604536,0.41524708819697365,0.04380343147203597,0.5075000000000001,0.22641223465175198,1.249576206072422,0.09842014052001054
mixing,0.35,0.4,8,0.2260503608829431,0.04812513789636699,0.4206181890666253,0.030030751251949626,0.488125,0.2314753969107732,1.260706191918144,0.10380185118053284
mixing,0.35,0.45,8,0.23069496064764777,0.03618351127236859,0.42414241074705744,0.019485834154358755,0.55375,0.23079685331477118,1.2433331385661361,0.04709103959988148
mixing,0.35,0.5,8,0.23226042515388817,0.04286045448450085,0.4285214066331341,0.02182202039731231,0.46125,0.3069990838748546,1.260164846860953,0.06095644362295394
mixing,0.35,0.55,8,0.22297061534693596,0.05149155389335304,0.4259775720078545,0.030102661738483638,0.380625,0.30502497336283796,1.3165258124487211,0.06747423008118887
mixing,0.35,0.6,8,0.2180287525677556,0.044123154245344444,0.4315027576492899,0.02307960520551379,0.3825,0.2586745058949567,1.3749392726221603,0.06465864460076486
mixing,0.35,0.65,8,0.23034438783581399,0.04882107591455455,0.43632950021433037,0.020612593283228214,0.423125,0.2704502900257273,1.3791245291460543,0.05404119566930893
mixing,0.35,0.7,8,0.23241547536533688,0.038299319689853756,0.4346885115752914,0.022385378978158763,0.52625,0.23056655763575082,1.375942663425856,0.05424465779395185
mixing,0.35,0.75,8,0.22542031765806875,0.03470072475852847,0.43218805280570705,0.02194515332354934,0.46125,0.10540843182592177,1.4565169649753238,0.07341082699925992
mixing,0.35,0.8,8,0.23011821124029433,0.04186052592139871,0.44125025352952174,0.023491048065472808,0.414375,0.18977680146688108,1.4804791144970861,0.06202661221150956
mixing,0.35,0.85,8,0.22970226398378227,0.037964328168453236,0.4341828897433684,0.02581124976336035,0.485625,0.2267906179166149,1.4882645570821027,0.09484675199665714
mixing,0.35,0.9,8,0.22355485457431903,0.030907362504820148,0.43067674325763494,0.025889984222238795,0.45000000000000007,0.22308910775741608,1.5045555151043954,0.11540285596733839
mixing,0.35,0.95,8,0.22845591600470105,0.03513092025166267,0.43994135363458853,0.02639348489162798,0.46375,0.22654676669509102,1.5761854560122863,0.07328402248419554
mixing,0.35,1.0,8,0.22407417382817013,0.03132843730707083,0.43959001283348353,0.024152718515439275,0.43124999999999997,0.21096134124526228,1.6243526298519566,0.09354677278787384
mixing,0.35,1.05,8,0.23136496900987324,0.02768635253896372,0.4429065802778769,0.023918529643618715,0.444375,0.2050523942191361,1.6009653977060907,0.0740485475602005
mixing,0.35,1.1,8,0.22631832589617362,0.03259239707283769,0.4373489823090194,0.020426696752676707,0.436875,0.23111059987590354,1.689931458777438,0.05987899710445008
mixing,0.35,1.15,8,0.2279766941954884,0.03148760885660217,0.4363881406008525,0.02306062861455187,0.4625,0.21634752136319935,1.7189768575360282,0.07478718538777006
mixing,0.35,1.2,8,0.21891124030936732,0.030082970071806398,0.4361515127379631,0.024585224618835277,0.4375,0.21688130394296323,1.7469459998134413,0.0959074392565357
mixing,0.35,1.25,8,0.232338447525489,0.02984817595265195,0.44240887401880336,0.02623534607786482,0.476875,0.21537666859481322,1.7576945032014284,0.08973813998457437
mixing,0.35,1.3,8,0.22219860181826157,0.02981918931977309,0.4379922075811642,0.024468060224702184,0.44625,0.22967027996673842,1.7903747013116216,0.12265910176641681
mixing,0.35,1.35,8,0.21267615406184037,0.02771655408863863,0.43150970091075336,0.02682315311119123,0.38687499999999997,0.2590359229431316,1.8309019477684938,0.1094002900347503
mixing,0.35,1.4,8,0.21474165358105707,0.027736565815167025,0.4322074153830602,0.023629320278337147,0.34625,0.2262569059719504,1.8717001066150334,0.09771733937492315
mixing,0.35,1.45,8,0.2119300205314238,0.02185788870520117,0.4372542477400585,0.01448187284424135,0.42125,0.21771182214110468,1.9488957559507751,0.09607753704900127
mixing,0.35,1.5,8,0.22050726963748668,0.030542694922439148,0.4364212785030932,0.02432108847115351,0.49625,0.16063837492952923,1.981350130966995,0.07859111861456845
mixing,0.35,1.55,8,0.224230345287577,0.03348960910498345,0.43361847347203475,0.023825938781637586,0.515625,0.16039867323329082,2.0443866900180714,0.0818292005795769
mixing,0.35,1.6,8,0.21172879002607603,0.04171742066087498,0.4251254831153385,0.03534516581522711,0.39125,0.2610764974102418,2.010210559779239,0.10451252184380794
mixing,0.35,1.65,8,0.22043767347866,0.03672316498862325,0.4346364167807808,0.02806781245518703,0.43812500000000004,0.22670103523142543,2.0671499231852586,0.1716015344309279
mixing,0.35,1.7,8,0.22653260197754416,0.03732753701318556,0.43649818295190046,0.02683221694480878,0.5131249999999999,0.14758339803311213,2.1226719871857904,0.09706136822850879
mixing,0.35,1.75,8,0.22385077476297388,0.04286435842034079,0.43467345862201445,0.028798710987294418,0.42437499999999995,0.27084863738811754,2.1042383916208047,0.14315585707044307
mixing,0.35,1.8,8,0.22807016468826968,0.042462732817849284,0.4380438905120249,0.02287184431688582,0.421875,0.2703462767914513,2.191685858946675,0.11910100650304141
mixing,0.35,1.85,8,0.21964370014988244,0.03848932604978795,0.42985216525311964,0.02223109270538981,0.4675,0.21233817367586072,2.1570254433445424,0.17599040608806535
mixing,0.35,1.9,8,0.218767030941448,0.04130329107575361,0.43232533617928803,0.024759727033943597,0.404375,0.26410742960961925,2.2587412581197173,0.13841336228023549
mixing,0.35,1.95,8,0.2165621726029367,0.03849893157451395,0.43494623727266923,0.020925892561761417,0.405625,0.259957177963987,2.2717009116329088,0.11481720936904852
mixing,0.35,2.0,8,0.21192204175956347,0.03685913038883919,0.4271336695314467,0.021225248218426182,0.39312499999999995,0.2554644972887622,2.3378132675707137,0.1475157360028748
