topology,epsilon,alpha,n_seeds,variance_mean,variance_std,extremeness_mean,extremeness_std,frac_extreme_mean,frac_extreme_std,amp_ratio_mean,amp_ratio_std
mixing,0.15,0.0,5,0.30728726380983434,0.016064272360030923,0.4788510061859653,0.013697997257849545,0.5349999999999999,0.0650384501660364,1.0204207794875866,0.025023595522296934
mixing,0.15,0.5,5,0.3028452546503201,0.019882616994363136,0.4769426096929189,0.015771606778812012,0.5459999999999999,0.07398648525237567,1.2092959387323265,0.024173613996759685
mixing,0.15,1.0,5,0.3066362201509899,0.01881902357934413,0.478958856493929,0.015740540517349078,0.48,0.07395944834840239,1.4157410478905663,0.022595272972079625
mixing,0.15,1.5,5,0.30163577742668213,0.019409482122472278,0.4756061008056934,0.014058771675613249,0.518,0.08772684879784523,1.6762715723381991,0.03306342490157303
mixing,0.15,2.0,5,0.30070539759417647,0.020094440792158427,0.4771896480861833,0.01575839296461374,0.45200000000000007,0.08880315309717329,2.0034696632009923,0.1073796161006896
mixing,0.15,2.5,5,0.3029923128041884,0.02098687188671406,0.47677754393937394,0.01483003195565457,0.508,0.09319871243745805,2.3562258958764652,0.10023151763974585
mixing,0.15,3.0,5,0.302214852355446,0.02173016098702006,0.47445586859378575,0.014274085763351686,0.476,0.07310266752998826,2.7371891605034575,0.09942080385904675
mixing,0.15,3.5,5,0.2997660766551463,0.022428642171900878,0.47318043869124604,0.01609714095300133,0.509,0.07889233169326408,3.2150676650529078,0.14220246248532978
mixing,0.15,4.0,5,0.2976284219613398,0.019142023413875865,0.47062344716652416,0.015121718968868035,0.497,0.0675721836261046,3.654025517876857,0.22881937993937443
mixing,0.15,4.5,5,0.29500421547514466,0.017007546854980037,0.46837098393251725,0.01205143051033678,0.48900000000000005,0.10692988356862639,4.379560847580153,0.2672204062423423
mixing,0.15,5.0,5,0.2971476504356587,0.017332830457204344,0.4705887512165187,0.010935737580358413,0.499,0.05526300751859241,4.835524047183332,0.3144520060581039
mixing,0.15,5.5,5,0.2967087893312497,0.02016900806818541,0.4703801238520889,0.015731913420723952,0.487,0.044788391353117386,5.581316592885439,0.6097127086716801
mixing,0.15,6.0,5,0.29996987752488796,0.019903230326266338,0.4739954872561535,0.016134786062144777,0.5050000000000001,0.08136338242723198,6.577240329438207,0.7087845307059139
mixing,0.35,0.0,5,0.20739949793382664,0.03638574520318677,0.4166288423706105,0.02606009948965153,0.344,0.1773245611865429,1.064510113542437,0.08271342062791837
mixing,0.35,0.5,5,0.22443882736874246,0.04410792704476608,0.421503638454542,0.02167073675382607,0.45599999999999996,0.2920513653452077,1.2847979409046402,0.06547281258946709
mixing,0.35,1.0,5,0.2204279818876842,0.029698642713285595,0.44187923085297626,0.026351565429433437,0.34199999999999997,0.1735972350010218,1.6271643610919717,0.09706796255233031
mixing,0.35,1.5,5,0.20969673636702985,0.020458884553869013,0.4318667275266397,0.02756985392267517,0.434,0.11060741385639573,2.0006755153382905,0.07325414319463891
mixing,0.35,2.0,5,0.1972055245111227,0.030210558606175508,0.41850162152826087,0.02257597413795325,0.359,0.1971649055993485,2.327389471609157,0.18254655029850303
mixing,0.35,2.5,5,0.1941018108981526,0.024892142301442648,0.41302881437967887,0.017062643936826296,0.33499999999999996,0.18209887424144064,2.9159014840595434,0.2542921531143542
mixing,0.35,3.0,5,0.2129338944822227,0.02457718007404045,0.4332836480077525,0.035922955712612094,0.369,0.19443250757010772,3.491670133149461,0.49928323294272403
mixing,0.35,3.5,5,0.19680291426768118,0.02985881190496464,0.41237264615200325,0.034162279926260856,0.34400000000000003,0.1921041384249699,3.9969642506845062,0.5942775232168055
mixing,0.35,4.0,5,0.22304958823827553,0.034446870231134456,0.4277888892652835,0.0203222487036373,0.46099999999999997,0.2432159534241124,5.136895630240332,0.46698656417740686
mixing,0.35,4.5,5,0.21750098677564575,0.022927875905526147,0.43426994970869154,0.024329451844054422,0.41200000000000003,0.2331651775029882,6.600846573206707,1.1871354792368558
mixing,0.35,5.0,5,0.21701751116932538,0.04889831972802615,0.40456138977537376,0.03032953590944785,0.437,0.2336578695443404,6.832206506476785,1.0811917059533143
mixing,0.35,5.5,5,0.21064512657376505,0.036485562089679124,0.42790095510012344,0.029316945531516925,0.4050000000000001,0.22011360703055136,9.20437258468722,1.4677907311425813
mixing,0.35,6.0,5,0.214167911817673,0.03543830957074974,0.41233245599827484,0.029093045733959707,0.517,0.1329135057095403,10.777850197483009,1.6129981990997317
smallworld,0.15,0.0,5,0.3153429824293282,0.020287741712880947,0.4849913539607343,0.019053613656688333,0.493,0.02315167380558045,0.9881898293678519,0.024843368345801215
smallworld,0.15,0.5,5,0.31263723592726,0.01791139921794898,0.48261398926648874,0.016147800914191195,0.47400000000000003,0.02922327839240492,1.1768579662589413,0.03304046013383122
smallworld,0.15,1.0,5,0.31213441353593807,0.018326764256097937,0.4820826655367819,0.0159860134922228,0.47000000000000003,0.036878177829171556,1.3723420554174042,0.04685942964618854
smallworld,0.15,1.5,5,0.3120998319704174,0.019545359916026028,0.4813593537027514,0.01697877639105397,0.48,0.027748873851023214,1.6070208287760466,0.06848658985876076
smallworld,0.15,2.0,5,0.31258898398711815,0.018183634292400087,0.482751689604204,0.01548256707462883,0.495,0.013784048752090234,1.8765786010536885,0.08628974695982101
smallworld,0.15,2.5,5,0.31246585396609283,0.01946399073161391,0.48113375988266427,0.016208448760622527,0.48100000000000004,0.014628738838327786,2.1842922837071392,0.1139436544976103
smallworld,0.15,3.0,5,0.3118731047421247,0.019902616996057925,0.48089035502424454,0.016648215391646373,0.48200000000000004,0.024413111231467402,2.533760030595398,0.13580992966143188
smallworld,0.15,3.5,5,0.3124556996058633,0.0205830830321495,0.481017698752077,0.01765196563052626,0.477,0.024617067250182336,2.879366498936663,0.1489737409965626
smallworld,0.15,4.0,5,0.31310056473694614,0.01984923642841223,0.48192637896377877,0.01693074737545478,0.4699999999999999,0.020736441353327716,3.300509270030716,0.1683029808112854
smallworld,0.15,4.5,5,0.3129782979483181,0.022238588612200044,0.4822975127757296,0.01880281265693871,0.48,0.021679483388678797,3.7719059015653933,0.22067611670414713
smallworld,0.15,5.0,5,0.31338935754972086,0.02215923916814937,0.4825017915539118,0.018830800218339633,0.481,0.022671568097509268,4.239408203854642,0.2055742787122593
smallworld,0.15,5.5,5,0.3123416246523117,0.02275073521105872,0.48117312083007924,0.0199750056627936,0.481,0.022671568097509268,4.739471264279672,0.2227909604142309
smallworld,0.15,6.0,5,0.31176426192792606,0.023060398568586278,0.480303303128244,0.02013435710299811,0.483,0.01913112646970899,5.294536674102897,0.28024347936162713
smallworld,0.35,0.0,5,0.22969066548449613,0.028028751496022145,0.44045839064458736,0.04481704552767086,0.31999999999999995,0.03521363372331803,1.166990396151658,0.0432029311347123
smallworld,0.35,0.5,5,0.22662897234528728,0.032436962752572754,0.4249881715774494,0.056591779480304256,0.319,0.08748714191239762,1.4084475311708846,0.056867813891589604
smallworld,0.35,1.0,5,0.22454632219233303,0.025533819388603638,0.423634715506788,0.043631733508563114,0.327,0.129406336784564,1.6754368327014295,0.0616698453746645
smallworld,0.35,1.5,5,0.22033600599924022,0.02251154704470622,0.4196886797542902,0.03981594135418704,0.358,0.10356640381899913,2.0145999192897266,0.059582475636468187
smallworld,0.35,2.0,5,0.22546438002983252,0.03489914430475448,0.41868318863711906,0.035532415592433295,0.373,0.11120251795710383,2.3319236926459945,0.14507342109014734
smallworld,0.35,2.5,5,0.222825299596213,0.04110281912511725,0.4178764031467378,0.049971239451404345,0.354,0.08702873088813831,2.862177472011719,0.21395416766199948
smallworld,0.35,3.0,5,0.2309548878744764,0.0445458038930379,0.4171408344210826,0.06501470847548219,0.38,0.10064790112068905,3.3486866767137706,0.38831035542808506
smallworld,0.35,3.5,5,0.21733024340668683,0.036327439893260455,0.4099316915751162,0.05123879787568692,0.34900000000000003,0.10608487168300673,3.9452245147357075,0.5509094447314883
smallworld,0.35,4.0,5,0.21825312252852208,0.04194757123194641,0.41212674622309065,0.05146585533765351,0.292,0.1443814392503413,4.639228707521632,0.8107240781132814
smallworld,0.35,4.5,5,0.22190581048161176,0.03644819703944983,0.41805367525894344,0.047302308604330545,0.33399999999999996,0.10753604047016052,5.524177487603699,0.8736784217167578
smallworld,0.35,5.0,5,0.23484437776105233,0.03917927340062321,0.4361472893953092,0.03970470645164004,0.28200000000000003,0.16029971927611103,6.644528598838119,0.9219967266585822
smallworld,0.35,5.5,5,0.23206002438873297,0.04012384646365531,0.43362315182352634,0.044044498600332056,0.296,0.17636326148038883,8.020942451107153,1.2623635847943564
smallworld,0.35,6.0,5,0.23719496465997655,0.041302419971400224,0.43661641856585576,0.04735768889100569,0.331,0.15544774041458434,9.322613622616275,2.021689917259857
