topology,epsilon,alpha,n_seeds,variance_mean,variance_std,extremeness_mean,extremeness_std,frac_extreme_mean,frac_extreme_std,amp_ratio_mean,amp_ratio_std
mixing,0.15,0.5,5,0.3028452546503201,0.019882616994363136,0.4769426096929189,0.015771606778812012,0.5459999999999999,0.07398648525237567,1.2092959387323265,0.024173613996759685
mixing,0.15,0.625,5,0.3019721709127813,0.017677033071893743,0.4782601320076839,0.0116428071521403,0.554,0.07200000000000001,1.2722490666912438,0.036059919633914875
mixing,0.15,0.75,5,0.30307370207425477,0.02116841014476203,0.4769768369666175,0.015837621413170723,0.542,0.0497594212184989,1.3066970303216858,0.014230472414201731
mixing,0.15,0.875,5,0.30151905223756464,0.018505239162282316,0.47542230422722875,0.014083216519482496,0.5039999999999999,0.09216289925995166,1.358385772994247,0.01616182500311951
mixing,0.15,1.0,5,0.3066362201509899,0.01881902357934413,0.478958856493929,0.015740540517349078,0.48,0.07395944834840239,1.4157410478905663,0.022595272972079625
mixing,0.15,1.125,5,0.3046566914521037,0.016148292526525988,0.476440709938933,0.01367991204393199,0.4779999999999999,0.0764591394144611,1.47558564631391,0.03140131040966324
mixing,0.15,1.25,5,0.30090464140291495,0.017378814273131867,0.4751827784028707,0.01244165893759931,0.46699999999999997,0.07909487973314075,1.5517929867761215,0.05243337142545236
mixing,0.15,1.375,5,0.30068473857795947,0.022091756214871035,0.4754928713381436,0.016649445984592476,0.49000000000000005,0.07937253933193772,1.598188371675404,0.04191228714914129
mixing,0.15,1.5,5,0.30163577742668213,0.019409482122472278,0.4756061008056934,0.014058771675613249,0.518,0.08772684879784523,1.6762715723381991,0.03306342490157303
mixing,0.15,1.625,5,0.2994245466702206,0.016887528256807977,0.4737065325248457,0.013460541338050495,0.41899999999999993,0.05642694391866354,1.7678845260902833,0.048062155715473946
mixing,0.15,1.75,5,0.2940330523714415,0.014651301520910693,0.4688743098828064,0.010734483268991136,0.43599999999999994,0.06621178142898741,1.84866633120712,0.04472448673221529
mixing,0.15,1.875,5,0.2987886285961715,0.020490648946721864,0.47168021676938504,0.012794357236976021,0.4699999999999999,0.09874208829065748,1.9354620055445881,0.08384015319218135
mixing,0.15,2.0,5,0.30070539759417647,0.020094440792158427,0.4771896480861833,0.01575839296461374,0.45200000000000007,0.08880315309717329,2.0034696632009923,0.1073796161006896
mixing,0.35,3.0,5,0.2129338944822227,0.02457718007404045,0.4332836480077525,0.035922955712612094,0.369,0.19443250757010772,3.491670133149461,0.49928323294272403
mixing,0.35,3.125,5,0.2060307059255016,0.034126923551856876,0.42726293181365593,0.03860556332070006,0.382,0.19896230798822173,3.6299761465704328,0.47725724234512257
mixing,0.35,3.25,5,0.20105958321777434,0.028079049576234003,0.4199145000240018,0.0249326231840692,0.361,0.19940912717325654,3.7182457248193357,0.24941722806474012
mixing,0.35,3.375,5,0.21230448630891735,0.022858809318308707,0.43351159695857105,0.019439736696818255,0.348,0.193277003288027,4.102205539083955,0.3791452985335905
mixing,0.35,3.5,5,0.19680291426768118,0.02985881190496464,0.41237264615200325,0.034162279926260856,0.34400000000000003,0.1921041384249699,3.9969642506845062,0.5942775232168055
