topology,epsilon,alpha,n_seeds,variance_mean,variance_std,extremeness_mean,extremeness_std,frac_extreme_mean,frac_extreme_std,amp_ratio_mean,amp_ratio_std
mixing,0.35,0.0,30,0.24125054084487804,0.037511787137868444,0.44226576727572114,0.04343830794292319,0.48816666666666664,0.22159829772711603,1.0800049574295565,0.10882767009469148
mixing,0.35,0.5,30,0.23511179306201646,0.03703962520319901,0.44682965572942657,0.0358687822280423,0.4363333333333334,0.24461852387385183,1.3104831535438353,0.11531053443145906
mixing,0.35,1.0,30,0.22764215215095984,0.03504031623178031,0.44403703114634663,0.03891767218567414,0.4364999999999999,0.22922750707539444,1.615862939448172,0.14236036921630607
mixing,0.35,1.5,30,0.2252924554885757,0.032778019905811494,0.43850093574347615,0.04341881965642502,0.4833333333333334,0.2060555480662651,1.9737219427845252,0.16448030745922546
mixing,0.35,2.0,30,0.2245906881587999,0.042266687260939996,0.43681478614219865,0.04268528500540542,0.48533333333333334,0.25883048935977815,2.3536951217160498,0.26679002585665673
mixing,0.35,2.5,30,0.22443220433734073,0.04081538598898961,0.43437842411354516,0.040635836233669606,0.5061666666666667,0.25316556945121027,2.9301331687189247,0.34734637274636876
mixing,0.35,3.0,30,0.2339236909231998,0.03753350815494868,0.4435679138205668,0.04329896392010044,0.489,0.25478225997898674,3.567275753116143,0.47972447967201987
mixing,0.35,3.5,30,0.22748988893376845,0.03223870689590723,0.43638880506811184,0.04304231429571381,0.48133333333333334,0.24890069416447105,4.292601076934946,0.7128765827314842
mixing,0.35,4.0,30,0.2335767569537312,0.0323300661111687,0.4392889807962321,0.03358017040700523,0.49466666666666664,0.21714792705025351,5.175618431831177,0.8006990491947358
mixing,0.35,4.5,30,0.228417011408912,0.03575095646560235,0.43758838275915485,0.04998343570351435,0.433,0.21238957915428275,6.513954042030558,1.220496802568228
mixing,0.35,5.0,30,0.22795627489216025,0.03968468573068287,0.4349481701539914,0.04725241270046228,0.42900000000000005,0.2175714442047332,7.953280658561866,1.5921842495656253
mixing,0.35,5.5,30,0.23522974277670686,0.04027041275339666,0.437868219702408,0.05140966056695326,0.4833333333333334,0.20891518746983317,8.980776759816784,2.1568067464666467
mixing,0.35,6.0,30,0.22965225804046774,0.037311619360864065,0.4389121366507833,0.03955958403817538,0.44416666666666665,0.23950672688302982,11.408170193929488,2.4503066002309617
smallworld,0.15,0.0,30,0.32619159342292,0.021100880213826403,0.49513224410988593,0.02178518112735651,0.49616666666666664,0.04194606325058673,1.0133606428409636,0.059220145957277974
smallworld,0.15,0.5,30,0.325061600902824,0.0204966550974917,0.49421340113923706,0.021558164876857158,0.4901666666666666,0.04395989333724801,1.195509878894023,0.0673278281951
smallworld,0.15,1.0,30,0.324535045062427,0.021303907232100468,0.49403992614879116,0.022227145587132256,0.49483333333333335,0.04610645893533308,1.4001843140279466,0.08534016363308985
smallworld,0.15,1.5,30,0.3243036861399298,0.02146267800683998,0.49419729360862835,0.022093715959942965,0.49416666666666664,0.04511251366183099,1.6335134466152956,0.09750168499503847
smallworld,0.15,2.0,30,0.3245697971331526,0.020879272583033938,0.49416419746027807,0.02163931821934435,0.49683333333333335,0.04052742555630967,1.907536993832952,0.1169408141377957
smallworld,0.15,2.5,30,0.3243976349995672,0.020763730818366088,0.49409755062980365,0.021631774751085943,0.49499999999999994,0.04316634491514579,2.215280388623099,0.14666027907819706
smallworld,0.15,3.0,30,0.32427535032879756,0.02165333157950881,0.4939532433540698,0.022003826761750202,0.4981666666666667,0.03957026099933579,2.559345389951595,0.17756853105679005
smallworld,0.15,3.5,30,0.3246751487715375,0.021553875468577365,0.49428974860701,0.021938590936918776,0.49499999999999994,0.042465672411176214,2.9329849498747764,0.20544856483870894
smallworld,0.15,4.0,30,0.32494585667885467,0.022023361920153514,0.4943925629949445,0.022445327174625707,0.49066666666666664,0.045911751098045565,3.3446842202324456,0.2582912041786355
smallworld,0.15,4.5,30,0.3249232885218792,0.022153606445687393,0.49464316976928635,0.022547297617751,0.49599999999999994,0.04376832949367232,3.80142880963568,0.32347211458307834
smallworld,0.15,5.0,30,0.32495578923997365,0.022393202725654135,0.4945273523564819,0.02277752280653531,0.49733333333333335,0.05007882675232007,4.286564702496205,0.38206092959824806
smallworld,0.15,5.5,30,0.3250813039275773,0.022833726418929907,0.4947448024356224,0.0231653707105394,0.49433333333333335,0.04874650984657489,4.8053439333375,0.4466693107509498
smallworld,0.15,6.0,30,0.32509223700910833,0.022643128867792305,0.4942737437235277,0.023108098112882308,0.49783333333333324,0.0476914271355159,5.375844061156992,0.5266363843578549
