N,epsilon,alpha,variance_mean
50,0.15,0.0,0.30540180590408494
50,0.15,6.0,0.2970339145046672
50,0.35,0.0,0.24054834111287143
50,0.35,6.0,0.23738583164610313
75,0.15,0.0,0.30775078982403814
75,0.15,6.0,0.2969375430373216
75,0.35,0.0,0.24234985141764512
75,0.35,6.0,0.2406054689169835
100,0.15,0.0,0.31086492870220506
100,0.15,6.0,0.30031981438027877
100,0.35,0.0,0.25925349711520174
100,0.35,6.0,0.2181613902958154
150,0.15,0.0,0.3111794048317045
150,0.15,6.0,0.30376414100324317
150,0.35,0.0,0.23362837144976584
150,0.35,6.0,0.23108357055932777
200,0.15,0.0,0.30728726380983434
200,0.15,6.0,0.29996987752488796
200,0.35,0.0,0.20739949793382664
200,0.35,6.0,0.214167911817673
