steepness_tag,steepness,epsilon,alpha,variance_mean
steep,50.0,0.15,0.0,0.29736027028045975
steep,50.0,0.15,1.0,0.29274382733787724
steep,50.0,0.15,2.0,0.28951352497076405
steep,50.0,0.15,3.0,0.2890986707185865
steep,50.0,0.15,4.0,0.2902384494679702
steep,50.0,0.15,5.0,0.2902549577092734
steep,50.0,0.15,6.0,0.28788522763410607
steep,50.0,0.35,0.0,0.2088690709652125
steep,50.0,0.35,1.0,0.2152061045209206
steep,50.0,0.35,2.0,0.18643551717654416
steep,50.0,0.35,3.0,0.20215241636885906
steep,50.0,0.35,4.0,0.20542783949700177
steep,50.0,0.35,5.0,0.19028085418869617
steep,50.0,0.35,6.0,0.20208280596415729
soft,10.0,0.15,0.0,0.15870592349530713
soft,10.0,0.15,1.0,0.16911597588979632
soft,10.0,0.15,2.0,0.17010263697401423
soft,10.0,0.15,3.0,0.16551624246465818
soft,10.0,0.15,4.0,0.17475916265771452
soft,10.0,0.15,5.0,0.1793105335178821
soft,10.0,0.15,6.0,0.19039346411692373
soft,10.0,0.35,0.0,8.234594612212641e-12
soft,10.0,0.35,1.0,2.1969754751725047e-12
soft,10.0,0.35,2.0,0.00044720300586603413
soft,10.0,0.35,3.0,0.03064760665541902
soft,10.0,0.35,4.0,0.07011614577491207
soft,10.0,0.35,5.0,0.1078387685933571
soft,10.0,0.35,6.0,0.13698433975238816
verysoft,3.0,0.15,0.0,3.884674996911058e-21
verysoft,3.0,0.15,1.0,5.780266147377129e-21
verysoft,3.0,0.15,2.0,1.2766984245539475e-20
verysoft,3.0,0.15,3.0,3.819011191970497e-20
verysoft,3.0,0.15,4.0,3.723850539684735e-19
verysoft,3.0,0.15,5.0,1.666321781307893e-18
verysoft,3.0,0.15,6.0,1.0834391786527086e-16
verysoft,3.0,0.35,0.0,1.456713558070226e-26
verysoft,3.0,0.35,1.0,1.914072712786954e-26
verysoft,3.0,0.35,2.0,2.768427209547556e-26
verysoft,3.0,0.35,3.0,1.0111932789527114e-25
verysoft,3.0,0.35,4.0,6.767711534985506e-25
verysoft,3.0,0.35,5.0,2.356002817057481e-24
verysoft,3.0,0.35,6.0,5.689379150939091e-23
