topology,alpha,n_seeds,variance_mean,variance_std,amp_ratio_mean
mixing,0.0,5,1.5664129905498252e-34,2.47167684871474e-34,12.654935981419623
mixing,0.5,5,4.631620775008253e-34,8.99004472972756e-34,12.282490388583707
mixing,1.0,5,1.555790283200314e-34,2.6858278735615503e-34,11.765439314602574
mixing,1.5,5,3.4248451089173643e-35,3.126387418053242e-35,11.500926705501296
mixing,2.0,5,1.9172933522928744e-34,3.7358722312465726e-34,12.13186839776324
mixing,2.5,5,4.499660719580425e-35,5.609844848481169e-35,12.016626142398135
mixing,3.0,5,7.369954613553866e-35,1.3841215760847347e-34,12.911312585913572
mixing,3.5,5,1.0501433948325216e-34,1.7849795942655009e-34,11.682261284301486
mixing,4.0,5,6.276124206271905e-35,4.4891858181968336e-35,12.036128074819324
mixing,4.5,5,3.874654605027878e-34,7.288144349577741e-34,12.408554441096735
mixing,5.0,5,7.125940794232773e-35,5.467193015656861e-35,20.174492081377178
mixing,5.5,5,1.024955842278582e-34,7.633927213331864e-35,11.457573980126297
mixing,6.0,5,2.300402947949029e-34,1.4305643193990226e-34,13.527810524782748
smallworld,0.0,5,1.3155830971365079e-05,1.5618251389549387e-05,12.331994213374584
smallworld,0.5,5,1.884373454794267e-05,2.5179913124232355e-05,11.5586738687814
smallworld,1.0,5,2.4081183044294215e-05,3.507131587572086e-05,12.287825396616004
smallworld,1.5,5,2.2932421463545375e-05,3.2491625170907634e-05,11.992891007368202
smallworld,2.0,5,1.7395192089242006e-05,2.233184262355652e-05,11.846122466192602
smallworld,2.5,5,1.764800644615003e-05,2.1741540970734724e-05,12.05455642657406
smallworld,3.0,5,1.9778115195717317e-05,2.712376899530174e-05,11.429591355931128
smallworld,3.5,5,2.0428682274273118e-05,2.693107598096961e-05,12.421876134708167
smallworld,4.0,5,2.503729021385328e-05,3.256779660514627e-05,13.697705368012578
smallworld,4.5,5,3.613381805716921e-05,4.616240719210118e-05,14.480681805492846
smallworld,5.0,5,6.160389531924741e-05,8.190615461172717e-05,17.040134296267148
smallworld,5.5,5,4.97902036967125e-05,5.2233016030287116e-05,20.66047969472989
smallworld,6.0,5,7.31354362140461e-05,9.397705973947355e-05,18.075117166487694
