condition,seed,round,opinion_var,opinion_bimodality,frac_extreme,round_diversity_entropy
random,0,0,0.07683769743480785,0.17170378528354302,0.03333333333333333,2.222353009488393
random,0,1,0.0718042618433289,0.17499029496075827,0.03333333333333333,2.284481946631189
random,0,2,0.06461690327967107,0.1774879496803835,0.02666666666666667,2.253742637112826
random,0,3,0.0619081526755136,0.17281289464145863,0.02,2.2652496458144347
random,0,4,0.052469397100777464,0.17268717165984362,0.01,2.2439420137344093
random,0,5,0.046860886256523265,0.16821028154413986,0.0,2.2423610910808485
random,0,6,0.04125939645168614,0.16663178357501063,0.0033333333333333335,2.2385591286870996
random,0,7,0.039335646546184044,0.1703599492343018,0.0,2.2560908783929983
random,0,8,0.037032943813046136,0.16162552294458715,0.0033333333333333335,2.251198378186883
random,0,9,0.03369845864831254,0.16285542790675142,0.0033333333333333335,2.2405171571206153
random,0,10,0.03221173889707746,0.16542461496275754,0.0033333333333333335,2.2484344407379835
random,0,11,0.030345260007322638,0.1746872651420099,0.0,2.252501311075978
random,0,12,0.02972151917379234,0.17263421422136804,0.0,2.2418485521428497
random,0,13,0.02746959851533698,0.175426414068225,0.0,2.2216998074254657
random,0,14,0.02631573411316585,0.17854362443120278,0.0,2.2719242649052953
random,0,15,0.024712046469390583,0.1773503380260615,0.0,2.2449908550219115
random,0,16,0.02513406956309632,0.171615526950235,0.0,2.2481800751114713
random,0,17,0.023621480398172325,0.1698024016904029,0.0,2.2413108802871795
random,0,18,0.02135699180917078,0.16814051572492858,0.0,2.232592692657606
random,0,19,0.02215581990710266,0.1705552308055382,0.0,2.215489921138974
random,0,20,0.021447705081218214,0.1704333736613498,0.0,2.2291716687964573
random,0,21,0.02290586554439867,0.17470888214426222,0.0,2.2682455696030206
random,0,22,0.023079383287340466,0.18122631621929927,0.0,2.2460114337672845
random,0,23,0.022420948183100132,0.1622264202244145,0.0,2.243767798944142
random,0,24,0.024097298757596388,0.18068021451340693,0.0,2.2458317472501426
random,0,25,0.026827071247558596,0.1793034253553612,0.0,2.2565168858034412
random,0,26,0.024913934528996966,0.1800605114058884,0.0,2.2476917874453464
random,0,27,0.02576368356516162,0.18024700369435934,0.0,2.261677363820436
random,0,28,0.023696162927058947,0.1760987983027166,0.0,2.224384465462405
random,0,29,0.023360580042470304,0.18225645855346229,0.0,2.2412687100473403
random,0,30,0.023827506212796876,0.17296650653313833,0.0,2.2649358265260053
random,0,31,0.024384646546297392,0.1758853550123033,0.0,2.2349523752590783
random,0,32,0.024872771510358726,0.17630821840102506,0.0,2.239696011102843
random,0,33,0.02427120384219004,0.17807946178467862,0.0,2.22143859939374
random,0,34,0.02322245409749705,0.16553680385223585,0.0,2.228826711882785
random,0,35,0.02315664096664312,0.16788153754132626,0.0,2.243258094974455
random,0,36,0.02287251718104637,0.16975975246817224,0.0,2.228034518735242
random,0,37,0.021750159286483696,0.17036911381466932,0.0,2.2041280427591325
